Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Aaron Anselmino,10077,Center Back,558,19,€3.5M,Liga Profesional,7.0,1.61,47.0,34.52,N/A,N/A,22.0,13.0,50.0,1.77,100.0,0.32,N/A,N/A,80.0,0.32,N/A,N/A,N/A,N/A,100.0,0.0,8.0,0.97,84.0,0.48,41.0,42.86,72.0,19.0,52.94,5.81,N/A,N/A,93.0,1.77,65.0,0.65,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,75.0,1.61,13.0,30.3,72.0,81.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54.0,3.87,100.0,0.0,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,94.0,64.0,72.22,2.1,57.0,16.0,0.16,58.87,61.0,0.16,99.0,0.11,N/A,N/A,N/A,N/A,N/A,N/A
Aaron Molinas,161730,Attacking Midfielder,834,24,€1.7M,Liga Profesional,78.0,1.73,85.0,32.81,N/A,N/A,50.0,40.0,33.33,0.76,73.0,0.22,37.0,0.32,95.0,2.7,N/A,N/A,82.0,31.91,80.0,0.97,61.0,0.76,24.0,0.86,48.0,44.44,31.0,66.0,47.87,4.86,N/A,N/A,39.0,0.97,56.0,1.83,86.0,N/A,N/A,0.32,N/A,N/A,N/A,N/A,79.0,0.76,71.0,61.54,77.0,79.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.0,0.11,28.0,3.67,100.0,0.0,N/A,N/A,N/A,N/A,56.0,84.0,1.08,1.94,79.0,1.62,26.0,15.0,38.46,0.54,81.0,26.0,1.62,62.91,13.0,0.43,68.0,0.16,83.0,86.0,0.25,0.25,68.0,0.2
Aaron Quiroz,10079,Center Back,624,22,€4.3M,Liga Profesional,40.0,3.03,25.0,25.67,N/A,N/A,13.0,30.0,55.0,1.59,0.0,0.0,75.0,0.14,51.0,0.14,N/A,N/A,N/A,N/A,14.0,0.43,77.0,0.29,46.0,0.14,100.0,100.0,7.0,34.0,56.41,3.17,N/A,N/A,25.0,0.58,57.0,0.58,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,13.0,0.72,34.0,37.5,40.0,77.06,N/A,N/A,8.0,0.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.0,4.18,7.0,0.14,N/A,N/A,N/A,N/A,50.0,64.0,0.14,0.43,N/A,N/A,22.0,46.0,66.67,0.58,24.0,22.0,0.29,48.17,35.0,0.29,29.0,0.01,33.0,33.0,0.01,0.01,53.0,0.01
Abiel Osorio,161730,Striker,445,22,€1.1M,Liga Profesional,85.0,1.01,73.0,15.57,N/A,N/A,65.0,56.0,43.24,3.24,0.0,0.0,72.0,0.61,59.0,1.01,N/A,N/A,92.0,50.0,67.0,1.21,51.0,0.4,89.0,1.82,84.0,60.0,85.0,81.0,47.78,8.7,N/A,N/A,82.0,2.43,86.0,2.43,49.0,N/A,N/A,0.2,N/A,N/A,N/A,N/A,N/A,N/A,80.0,71.43,91.0,74.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.0,0.2,43.0,2.43,100.0,0.0,N/A,N/A,N/A,N/A,61.0,43.0,0.81,2.63,77.0,0.4,79.0,61.0,66.67,0.81,51.0,25.0,3.64,39.44,23.0,0.4,39.0,0.05,28.0,34.0,0.2,0.2,27.0,0.14
Adrian Balboa,10096,Striker,1370,30,€700K,Liga Profesional,27.0,0.2,17.0,10.25,N/A,N/A,62.0,72.0,48.45,3.09,77.0,0.13,68.0,0.59,17.0,0.59,N/A,N/A,64.0,22.22,63.0,1.25,53.0,0.39,59.0,0.92,65.0,46.67,37.0,56.0,42.78,5.26,N/A,N/A,41.0,1.18,10.0,0.46,48.0,N/A,N/A,0.2,N/A,N/A,N/A,N/A,69.0,0.26,39.0,37.5,42.0,65.0,86.0,0.07,N/A,N/A,80.0,N/A,N/A,N/A,N/A,0.07,N/A,N/A,54.0,0.66,48.0,2.5,7.0,0.07,N/A,N/A,N/A,N/A,79.0,54.0,0.99,3.02,49.0,0.13,62.0,66.0,69.23,0.59,11.0,72.0,5.32,32.19,55.0,0.13,62.0,0.09,61.0,59.0,0.27,0.32,47.0,0.28
Adrian Martinez,10080,Striker,994,32,€2M,Liga Profesional,59.0,0.63,5.0,8.6,N/A,N/A,25.0,20.0,27.59,1.45,62.0,0.09,28.0,0.27,38.0,0.81,N/A,N/A,95.0,66.67,82.0,0.81,56.0,0.36,8.0,0.09,11.0,20.0,8.0,10.0,31.86,3.26,N/A,N/A,67.0,1.63,39.0,1.18,46.0,N/A,N/A,0.18,N/A,N/A,N/A,N/A,71.0,0.27,62.0,53.85,25.0,61.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.0,0.27,22.0,1.9,5.0,0.09,N/A,N/A,N/A,N/A,74.0,64.0,1.09,2.81,57.0,0.18,29.0,34.0,50.0,0.27,6.0,64.0,4.98,26.62,15.0,0.45,47.0,0.07,80.0,80.0,0.4,0.47,56.0,0.33
Adrian Sanchez,161727,Central Midfielder,1513,25,€650K,Liga Profesional,79.0,3.09,66.0,34.62,N/A,N/A,83.0,84.0,63.46,1.96,0.0,0.0,46.0,0.18,46.0,0.71,N/A,N/A,89.0,50.0,40.0,1.19,84.0,0.54,45.0,0.59,81.0,66.67,65.0,91.0,61.36,6.42,N/A,N/A,25.0,0.95,17.0,0.54,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,84.0,1.67,65.0,54.17,51.0,78.12,N/A,N/A,5.0,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.0,0.71,72.0,6.48,100.0,0.0,N/A,N/A,N/A,N/A,34.0,N/A,N/A,0.65,66.0,0.48,76.0,42.0,58.93,1.96,68.0,37.0,0.59,62.7,49.0,0.24,53.0,0.05,33.0,34.0,0.02,0.02,N/A,N/A
Adrian Sporle,10078,Left Back,547,29,€400K,Liga Profesional,38.0,1.48,62.0,26.0,N/A,N/A,81.0,76.0,61.11,1.81,0.0,0.0,N/A,N/A,55.0,0.82,N/A,N/A,72.0,31.25,68.0,0.49,70.0,0.66,86.0,1.48,66.0,56.25,73.0,70.0,56.25,5.92,N/A,N/A,64.0,1.32,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,62.0,1.32,40.0,32.14,54.0,72.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.0,4.61,2.0,0.16,N/A,N/A,N/A,N/A,22.0,60.0,0.16,0.33,89.0,1.65,70.0,62.0,68.75,1.81,70.0,75.0,1.48,64.99,100.0,0.0,50.0,0.06,59.0,59.0,0.03,0.03,73.0,0.04
Agustin Almendra,10080,Central Midfielder,1061,24,€1.4M,Liga Profesional,88.0,3.82,58.0,31.72,N/A,N/A,27.0,72.0,56.25,0.76,89.0,0.17,70.0,0.42,74.0,1.36,N/A,N/A,87.0,41.38,68.0,0.68,60.0,0.93,50.0,0.68,38.0,40.0,63.0,83.0,57.69,6.36,N/A,N/A,48.0,1.44,58.0,1.27,72.0,N/A,N/A,0.08,N/A,N/A,N/A,N/A,48.0,0.93,67.0,54.88,56.0,78.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.0,0.59,77.0,6.79,100.0,0.0,N/A,N/A,N/A,N/A,70.0,72.0,0.42,1.44,80.0,1.02,83.0,57.0,62.79,2.29,58.0,52.0,1.1,59.12,46.0,0.25,75.0,0.11,70.0,71.0,0.09,0.09,80.0,0.14
Agustin Baldi,10092,Center Back,501,22,€140K,Liga Profesional,10.0,1.8,40.0,31.44,N/A,N/A,81.0,78.0,68.97,3.59,0.0,0.0,82.0,0.18,87.0,0.36,N/A,N/A,100.0,100.0,33.0,0.18,25.0,0.72,51.0,0.18,32.0,25.0,60.0,14.0,51.72,5.39,N/A,N/A,98.0,2.16,41.0,0.36,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,13.0,0.72,63.0,43.48,37.0,76.42,N/A,N/A,7.0,0.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95.0,0.18,46.0,3.59,100.0,0.0,N/A,N/A,N/A,N/A,63.0,N/A,N/A,0.54,99.0,0.72,31.0,28.0,57.14,0.72,52.0,42.0,0.54,56.95,8.0,0.54,76.0,0.03,48.0,48.0,0.02,0.02,N/A,N/A
Agustin Bouzat,10079,Defensive Midfielder,1334,30,€500K,Liga Profesional,66.0,2.36,50.0,29.01,N/A,N/A,33.0,26.0,37.14,0.88,0.0,0.0,41.0,0.13,30.0,0.47,N/A,N/A,42.0,9.09,86.0,0.4,21.0,1.69,26.0,0.34,47.0,50.0,31.0,31.0,45.73,5.06,N/A,N/A,80.0,2.16,54.0,1.21,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,87.0,1.89,20.0,33.98,22.0,71.67,N/A,N/A,4.0,0.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54.0,0.34,65.0,6.27,100.0,0.0,N/A,N/A,N/A,N/A,27.0,37.0,0.07,0.54,42.0,0.07,41.0,17.0,48.72,1.28,49.0,27.0,0.4,56.27,33.0,0.34,30.0,0.03,20.0,20.0,0.01,0.01,39.0,0.01
Agustin Cardozo,89396,Defensive Midfielder,1519,27,€1.8M,Liga Profesional,87.0,3.79,90.0,49.77,N/A,N/A,81.0,84.0,61.54,1.9,74.0,0.06,N/A,N/A,45.0,0.71,N/A,N/A,N/A,N/A,58.0,0.89,84.0,0.53,39.0,0.53,79.0,64.29,31.0,79.0,55.56,5.04,N/A,N/A,32.0,1.13,44.0,1.01,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,31.0,0.65,89.0,67.37,95.0,87.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.0,0.41,78.0,6.81,100.0,0.0,N/A,N/A,N/A,N/A,12.0,35.0,0.06,0.24,N/A,N/A,25.0,58.0,62.96,1.01,78.0,15.0,0.06,68.73,77.0,0.06,35.0,0.03,10.0,10.0,0.0,0.0,36.0,0.0
Agustin Modica,10084,Striker,537,21,€2M,Liga Profesional,77.0,0.84,49.0,13.24,N/A,N/A,80.0,64.0,45.61,4.36,0.0,0.0,36.0,0.34,5.0,0.17,N/A,N/A,N/A,N/A,58.0,1.34,26.0,0.67,53.0,0.84,12.0,25.0,74.0,52.0,42.2,7.71,N/A,N/A,20.0,0.84,38.0,1.17,77.0,N/A,N/A,0.5,N/A,N/A,N/A,N/A,87.0,0.5,100.0,100.0,84.0,72.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.0,0.84,85.0,3.85,100.0,0.0,N/A,N/A,N/A,N/A,41.0,68.0,1.17,2.18,N/A,N/A,71.0,34.0,50.0,0.67,34.0,29.0,3.85,36.37,100.0,0.0,9.0,0.02,63.0,71.0,0.33,0.33,79.0,0.52
