Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Aaron Schwarz,10056,Striker,161,20,N/A,Austrian Bundesliga,70.0,1.12,73.0,25.16,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,N/A,N/A,14.0,0.56,N/A,N/A,N/A,N/A,91.0,0.56,N/A,N/A,36.0,1.12,100.0,100.0,41.0,89.0,60.0,5.03,N/A,N/A,86.0,2.24,14.0,0.56,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,75.0,66.67,75.0,80.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.0,2.24,100.0,0.0,N/A,N/A,N/A,N/A,30.0,45.0,0.56,1.12,N/A,N/A,64.0,16.0,33.33,1.12,64.0,32.0,2.24,48.63,100.0,0.0,23.0,0.05,20.0,20.0,0.07,0.07,43.0,0.14
Abubakr Barry,10011,Central Midfielder,586,24,N/A,Austrian Bundesliga,38.0,1.54,65.0,34.71,N/A,N/A,45.0,55.0,50.0,0.77,67.0,0.15,47.0,0.15,80.0,1.38,N/A,N/A,40.0,11.11,36.0,1.08,55.0,0.92,95.0,2.61,71.0,65.38,85.0,85.0,58.89,8.14,N/A,N/A,58.0,1.54,55.0,1.23,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,27.0,0.77,56.0,55.56,73.0,83.39,N/A,N/A,4.0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.0,0.15,84.0,6.45,100.0,0.0,N/A,N/A,N/A,N/A,27.0,36.0,0.15,0.61,47.0,0.15,89.0,40.0,65.22,2.3,64.0,55.0,1.23,62.35,2.0,0.77,75.0,0.13,38.0,38.0,0.05,0.05,71.0,0.13
Adam Daghim,10013,Striker,568,19,€220K,Austrian Bundesliga,45.0,0.79,68.0,23.61,N/A,N/A,57.0,91.0,66.67,0.95,0.0,0.0,89.0,0.95,59.0,1.43,N/A,N/A,64.0,30.0,50.0,1.43,18.0,1.27,86.0,3.64,66.0,52.27,70.0,64.0,50.0,6.97,N/A,N/A,7.0,0.48,39.0,1.27,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,82.0,1.11,48.0,45.45,36.0,72.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48.0,0.48,41.0,3.17,100.0,0.0,N/A,N/A,N/A,N/A,77.0,34.0,0.32,2.38,57.0,0.48,32.0,55.0,57.14,0.63,77.0,93.0,7.45,56.09,52.0,0.16,64.0,0.16,48.0,48.0,0.19,0.19,23.0,0.01
Adam Stejskal,1583,Keeper,810,22,€550K,Austrian Bundesliga,68.0,6.67,N/A,N/A,16.0,0.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53.0,0.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.0,0.11,N/A,N/A,N/A,N/A,N/A,68.0,1.22,N/A,84.0,0.23,37.0,0.78,N/A,N/A,63.0,44.44,58.0,76.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,58.0,66.67,32.0,2.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.0,0.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adil Taoui,9977,Attacking Midfielder,182,23,€400K,Austrian Bundesliga,61.0,0.99,59.0,21.26,N/A,N/A,59.0,43.0,28.57,0.99,0.0,0.0,N/A,N/A,89.0,2.47,N/A,N/A,45.0,18.75,16.0,1.98,32.0,0.99,95.0,4.95,77.0,58.82,91.0,52.0,47.62,9.89,N/A,N/A,80.0,1.98,52.0,1.48,89.0,N/A,N/A,0.49,N/A,N/A,N/A,N/A,41.0,0.49,34.0,40.0,20.0,67.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.0,0.99,73.0,4.45,100.0,0.0,N/A,N/A,N/A,N/A,82.0,75.0,0.99,2.47,86.0,1.48,84.0,59.0,60.0,1.48,93.0,70.0,4.45,68.74,7.0,0.99,75.0,0.17,66.0,70.0,0.27,0.27,48.0,0.17
Adis Jasic,1954,Right Back,760,21,€1.9M,Austrian Bundesliga,94.0,3.91,57.0,37.18,N/A,N/A,14.0,23.0,33.33,0.24,69.0,0.12,57.0,0.24,40.0,0.59,N/A,N/A,31.0,13.04,43.0,0.59,17.0,1.78,60.0,0.83,83.0,63.64,71.0,66.0,56.25,5.33,N/A,N/A,43.0,0.83,66.0,0.95,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,74.0,2.01,74.0,45.83,23.0,72.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.0,0.47,89.0,5.92,100.0,0.0,N/A,N/A,N/A,N/A,43.0,77.0,0.24,0.71,37.0,0.36,51.0,17.0,42.86,1.42,71.0,46.0,0.95,77.09,37.0,0.24,43.0,0.07,43.0,43.0,0.03,0.03,54.0,0.0
Aleksandar Dragovic,10011,Center Back,670,33,€2.6M,Austrian Bundesliga,87.0,5.64,78.0,57.36,N/A,N/A,52.0,80.0,75.0,2.42,0.0,0.0,N/A,N/A,63.0,0.4,N/A,N/A,N/A,N/A,59.0,0.13,54.0,0.54,N/A,N/A,N/A,N/A,7.0,61.0,63.16,3.22,N/A,N/A,15.0,0.27,33.0,0.27,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,46.0,1.34,89.0,68.85,89.0,92.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.0,3.63,100.0,0.0,N/A,N/A,N/A,N/A,33.0,67.0,0.13,0.27,N/A,N/A,11.0,100.0,100.0,0.54,72.0,15.0,0.4,72.67,22.0,0.27,61.0,0.02,41.0,41.0,0.04,0.04,74.0,0.05
Alem Pasic,2433,Center Back,380,27,€350K,Austrian Bundesliga,4.0,0.24,0.0,12.55,N/A,N/A,87.0,55.0,50.0,2.13,0.0,0.0,N/A,N/A,5.0,0.24,N/A,N/A,78.0,33.33,76.0,0.47,7.0,2.61,13.0,0.24,40.0,50.0,69.0,35.0,47.46,6.63,N/A,N/A,80.0,1.89,27.0,0.71,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,73.0,1.66,4.0,11.11,0.0,60.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.0,0.24,38.0,4.26,100.0,0.0,N/A,N/A,N/A,N/A,7.0,N/A,N/A,0.24,53.0,0.24,75.0,25.0,60.0,2.13,0.0,49.0,1.18,37.89,55.0,0.24,5.0,0.02,80.0,84.0,0.18,0.18,N/A,N/A
Alexander Briedl,2433,Central Midfielder,630,22,€260K,Austrian Bundesliga,9.0,0.57,4.0,15.71,N/A,N/A,76.0,91.0,71.43,1.43,0.0,0.0,44.0,0.14,45.0,0.86,N/A,N/A,89.0,47.06,15.0,1.43,36.0,1.29,35.0,0.57,62.0,57.14,64.0,62.0,54.22,6.43,N/A,N/A,76.0,1.86,71.0,1.57,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,13.0,0.57,5.0,12.12,4.0,66.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.0,4.57,100.0,0.0,N/A,N/A,N/A,N/A,11.0,35.0,0.14,0.29,87.0,1.14,76.0,56.0,71.43,2.14,11.0,31.0,0.86,43.57,42.0,0.29,49.0,0.07,22.0,22.0,0.02,0.02,49.0,0.03
Alexander Schmidt,2433,Central Midfielder,208,26,N/A,Austrian Bundesliga,52.0,0.87,11.0,12.55,N/A,N/A,95.0,68.0,50.0,5.62,0.0,0.0,57.0,0.43,25.0,0.87,N/A,N/A,N/A,N/A,82.0,0.87,64.0,0.43,80.0,2.16,91.0,71.43,100.0,75.0,53.33,10.38,N/A,N/A,59.0,1.3,9.0,0.43,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,70.0,0.87,52.0,50.0,2.0,60.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.0,0.43,34.0,3.03,100.0,0.0,N/A,N/A,N/A,N/A,93.0,100.0,1.73,3.46,N/A,N/A,95.0,100.0,100.0,2.16,57.0,80.0,5.19,47.6,27.0,0.43,80.0,0.18,93.0,93.0,0.42,0.42,82.0,0.44
