Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Abdelkahar Kadri,8571,Central Midfielder,635,24,€2.4M,First Division A,45.0,1.84,45.0,30.61,N/A,N/A,N/A,N/A,N/A,N/A,96.0,0.43,36.0,0.14,90.0,2.13,N/A,N/A,76.0,31.91,22.0,1.42,69.0,0.71,92.0,1.98,37.0,45.16,74.0,37.0,47.83,6.24,N/A,N/A,32.0,0.85,85.0,1.7,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,47.0,0.99,51.0,56.52,64.0,84.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56.0,0.43,58.0,5.24,100.0,0.0,N/A,N/A,N/A,N/A,74.0,87.0,0.71,1.42,94.0,2.13,67.0,50.0,61.11,1.56,64.0,58.0,1.56,63.64,6.0,0.71,86.0,0.21,82.0,83.0,0.14,0.14,91.0,0.25
Abdoul Ouattara,9984,Attacking Midfielder,273,19,€320K,First Division A,N/A,N/A,3.0,12.2,N/A,N/A,85.0,52.0,35.0,2.31,0.0,0.0,70.0,0.99,28.0,0.99,N/A,N/A,95.0,44.44,26.0,1.98,72.0,0.33,15.0,0.33,8.0,14.29,82.0,30.0,41.51,7.25,N/A,N/A,80.0,1.65,87.0,2.64,95.0,N/A,N/A,0.66,N/A,N/A,N/A,N/A,41.0,0.33,N/A,N/A,3.0,59.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.0,0.99,33.0,3.3,0.0,0.0,N/A,N/A,N/A,N/A,79.0,84.0,1.32,3.3,80.0,1.32,70.0,43.0,66.67,1.32,36.0,97.0,8.24,46.81,18.0,0.33,61.0,0.16,92.0,93.0,0.51,0.51,93.0,0.58
Abu Francis,9984,Defensive Midfielder,632,23,€2.1M,First Division A,72.0,3.56,73.0,41.87,N/A,N/A,76.0,82.0,68.75,1.57,74.0,0.14,49.0,0.28,60.0,1.14,N/A,N/A,78.0,33.33,67.0,0.71,45.0,1.14,29.0,0.43,62.0,60.0,92.0,95.0,66.67,7.41,N/A,N/A,33.0,0.85,62.0,1.14,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,28.0,0.71,68.0,62.5,37.0,79.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.0,1.0,94.0,8.26,100.0,0.0,N/A,N/A,N/A,N/A,49.0,N/A,N/A,0.85,50.0,0.28,94.0,55.0,63.33,2.71,73.0,59.0,1.57,67.93,100.0,0.0,49.0,0.1,33.0,35.0,0.04,0.04,N/A,N/A
Adam Nhaili,9997,Left Winger,169,19,€120K,First Division A,30.0,0.53,77.0,31.95,N/A,N/A,46.0,100.0,100.0,0.53,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.0,2.13,59.0,0.53,49.0,1.07,38.0,40.0,25.0,10.0,36.84,3.73,N/A,N/A,93.0,2.13,41.0,1.07,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,74.0,0.53,100.0,100.0,90.0,86.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.0,1.6,82.0,5.33,0.0,0.0,N/A,N/A,N/A,N/A,15.0,75.0,1.07,1.07,N/A,N/A,23.0,21.0,50.0,0.53,62.0,2.0,0.53,53.25,100.0,0.0,5.0,0.01,10.0,10.0,0.04,0.04,31.0,0.12
Adedire Awokoya Mebude,10001,Right Winger,427,20,€530K,First Division A,34.0,0.84,26.0,20.02,N/A,N/A,N/A,N/A,N/A,N/A,67.0,0.21,79.0,1.05,34.0,1.05,N/A,N/A,28.0,9.09,89.0,0.63,39.0,0.84,74.0,1.9,64.0,52.94,57.0,69.0,51.02,5.27,N/A,N/A,54.0,1.05,85.0,2.53,82.0,N/A,N/A,0.42,N/A,N/A,N/A,N/A,82.0,0.63,33.0,50.0,38.0,76.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.0,1.48,77.0,5.27,0.0,0.0,N/A,N/A,N/A,N/A,70.0,59.0,0.84,2.95,31.0,0.21,34.0,66.0,75.0,0.63,28.0,62.0,4.64,45.74,34.0,0.21,18.0,0.04,87.0,90.0,0.44,0.44,85.0,0.45
Adem Zorgane,9986,Defensive Midfielder,894,24,€5.5M,First Division A,100.0,7.85,100.0,69.66,N/A,N/A,23.0,46.0,50.0,0.5,86.0,0.2,65.0,0.4,100.0,3.83,N/A,N/A,72.0,29.85,23.0,1.41,15.0,1.81,86.0,1.41,86.0,77.78,46.0,63.0,53.06,5.23,N/A,N/A,15.0,0.6,5.0,0.1,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,87.0,1.61,85.0,71.56,73.0,86.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.0,0.3,87.0,7.45,100.0,0.0,N/A,N/A,N/A,N/A,44.0,41.0,0.2,0.81,91.0,2.01,81.0,46.0,59.38,1.91,100.0,21.0,0.6,102.38,100.0,0.0,96.0,0.29,41.0,42.0,0.04,0.04,63.0,0.1
Adriano Bertaccini,9997,Attacking Midfielder,624,24,N/A,First Division A,45.0,0.29,31.0,12.12,N/A,N/A,17.0,19.0,33.33,1.01,0.0,0.0,64.0,0.72,29.0,0.72,N/A,N/A,N/A,N/A,21.0,2.02,10.0,0.87,90.0,1.88,67.0,50.0,24.0,19.0,34.12,4.18,N/A,N/A,60.0,1.59,2.0,0.29,88.0,N/A,N/A,0.58,N/A,N/A,N/A,N/A,N/A,N/A,24.0,33.33,62.0,74.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.0,0.29,86.0,3.32,0.0,0.0,N/A,N/A,N/A,N/A,60.0,62.0,1.3,2.88,N/A,N/A,48.0,26.0,42.86,0.43,31.0,40.0,4.62,31.88,21.0,0.29,7.0,0.02,67.0,79.0,0.49,0.49,81.0,0.64
Aiden O'Neill,9985,Central Midfielder,900,26,€1.4M,First Division A,74.0,3.6,49.0,31.4,N/A,N/A,71.0,72.0,60.0,1.5,0.0,0.0,73.0,0.5,24.0,0.4,N/A,N/A,N/A,N/A,47.0,0.9,33.0,1.4,15.0,0.2,38.0,50.0,60.0,65.0,53.33,5.6,N/A,N/A,63.0,1.4,76.0,1.5,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,27.0,0.6,50.0,56.25,38.0,79.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.0,0.1,59.0,5.4,100.0,0.0,N/A,N/A,N/A,N/A,29.0,N/A,N/A,0.7,N/A,N/A,71.0,59.0,66.67,1.6,32.0,33.0,1.0,53.1,47.0,0.2,29.0,0.05,40.0,41.0,0.04,0.04,N/A,N/A
Aiham Ousou,9986,Center Back,414,24,€1.8M,First Division A,64.0,4.57,47.0,40.43,N/A,N/A,86.0,87.0,76.19,3.48,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.0,0.43,70.0,0.22,50.0,0.22,46.0,50.0,86.0,61.0,60.87,6.09,N/A,N/A,97.0,2.17,77.0,1.09,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,93.0,2.39,91.0,67.74,74.0,88.57,N/A,N/A,3.0,0.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.0,3.7,100.0,0.0,N/A,N/A,N/A,N/A,80.0,67.0,0.22,0.87,N/A,N/A,47.0,57.0,66.67,0.87,39.0,40.0,0.65,62.17,34.0,0.22,43.0,0.01,69.0,70.0,0.06,0.06,80.0,0.12
Alan Minda,9984,Right Winger,222,21,€6.5M,First Division A,26.0,0.41,2.0,12.16,N/A,N/A,59.0,34.0,22.22,0.81,90.0,0.41,92.0,1.62,79.0,2.43,N/A,N/A,61.0,25.0,75.0,0.81,N/A,N/A,85.0,2.43,46.0,46.15,48.0,28.0,41.38,4.86,N/A,N/A,18.0,0.41,43.0,1.22,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,100.0,100.0,2.0,57.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89.0,1.22,44.0,3.65,0.0,0.0,N/A,N/A,N/A,N/A,75.0,52.0,0.81,3.24,69.0,0.81,21.0,100.0,100.0,0.41,10.0,95.0,7.7,41.35,100.0,0.0,23.0,0.06,84.0,85.0,0.38,0.38,67.0,0.34
Alessio Castro-Montes,7978,Right Midfielder,753,27,€5.8M,First Division A,47.0,1.91,47.0,30.84,N/A,N/A,32.0,78.0,62.5,0.6,95.0,0.36,62.0,0.36,95.0,2.87,N/A,N/A,77.0,32.79,55.0,0.84,50.0,0.96,83.0,1.2,38.0,50.0,41.0,78.0,55.26,5.02,N/A,N/A,29.0,0.84,72.0,1.43,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,36.0,0.84,49.0,55.17,32.0,76.56,N/A,N/A,1.0,0.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.0,0.96,42.0,4.54,100.0,0.0,N/A,N/A,N/A,N/A,37.0,33.0,0.12,0.72,96.0,2.39,28.0,36.0,53.33,0.96,68.0,56.0,1.55,65.74,40.0,0.24,94.0,0.28,37.0,38.0,0.04,0.04,29.0,0.0
Allahyar Sayyadmanesh,10001,Left Winger,758,23,€1.9M,First Division A,51.0,1.19,8.0,13.42,N/A,N/A,100.0,84.0,66.67,4.75,72.0,0.24,44.0,0.59,64.0,1.66,N/A,N/A,41.0,16.67,13.0,2.49,61.0,0.47,75.0,1.9,84.0,61.54,97.0,84.0,55.06,10.33,N/A,N/A,87.0,1.9,66.0,1.66,77.0,N/A,N/A,0.36,N/A,N/A,N/A,N/A,30.0,0.12,26.0,38.46,0.0,54.59,92.0,0.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.0,0.71,23.0,2.85,0.0,0.0,N/A,N/A,N/A,N/A,64.0,57.0,0.83,2.73,41.0,0.36,82.0,75.0,82.35,1.66,46.0,84.0,6.06,48.8,13.0,0.36,66.0,0.17,74.0,75.0,0.34,0.34,72.0,0.39
Anan Khalaili,7978,Right Winger,136,20,€5.5M,First Division A,68.0,3.31,26.0,25.81,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,97.0,1.32,N/A,N/A,N/A,N/A,59.0,25.0,71.0,0.66,36.0,1.32,49.0,0.66,14.0,16.67,49.0,31.0,44.44,5.29,N/A,N/A,58.0,1.32,26.0,0.66,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,72.0,1.32,68.0,62.5,13.0,72.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.0,3.31,100.0,0.0,N/A,N/A,N/A,N/A,97.0,97.0,1.32,3.31,69.0,0.66,56.0,6.0,33.33,1.32,71.0,91.0,3.31,67.5,0.0,1.32,51.0,0.1,64.0,65.0,0.1,0.1,68.0,0.11
Anders Dreyer,8635,Right Winger,617,26,€14.5M,First Division A,67.0,1.75,51.0,24.8,N/A,N/A,N/A,N/A,N/A,N/A,57.0,0.15,84.0,1.17,85.0,2.63,N/A,N/A,38.0,15.62,52.0,1.17,79.0,0.29,8.0,0.15,11.0,20.0,2.0,3.0,28.0,1.02,N/A,N/A,15.0,0.29,2.0,0.29,41.0,N/A,N/A,0.15,N/A,N/A,N/A,N/A,N/A,N/A,70.0,70.59,66.0,80.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.0,0.44,16.0,2.48,0.0,0.0,N/A,N/A,N/A,N/A,67.0,72.0,1.02,2.77,66.0,0.73,30.0,100.0,100.0,0.58,25.0,66.0,4.96,45.51,100.0,0.0,69.0,0.2,48.0,49.0,0.21,0.21,46.0,0.22
Andi Zeqiri,9985,Striker,346,25,€3.6M,First Division A,36.0,0.26,57.0,14.31,N/A,N/A,40.0,55.0,43.75,1.82,0.0,0.0,95.0,2.6,40.0,0.78,N/A,N/A,N/A,N/A,19.0,2.08,19.0,0.78,60.0,0.78,52.0,42.86,33.0,24.0,36.73,4.68,N/A,N/A,69.0,1.82,71.0,1.82,76.0,N/A,N/A,0.52,N/A,N/A,N/A,N/A,88.0,0.52,24.0,33.33,40.0,70.51,N/A,N/A,N/A,N/A,95.0,N/A,N/A,N/A,N/A,0.26,N/A,N/A,N/A,N/A,29.0,2.08,0.0,0.0,N/A,N/A,N/A,N/A,90.0,64.0,1.3,4.68,N/A,N/A,31.0,100.0,100.0,0.26,79.0,43.0,4.68,41.62,100.0,0.0,29.0,0.04,88.0,62.0,0.44,0.64,69.0,0.52
