Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Adam Gabriel,8113,Right Back,353,23,€320K,Superligaen,67.0,2.04,58.0,36.97,N/A,N/A,94.0,28.0,42.86,2.29,92.0,0.51,N/A,N/A,75.0,1.53,N/A,N/A,33.0,20.0,22.0,0.76,N/A,N/A,53.0,0.51,17.0,25.0,64.0,6.0,40.0,4.59,N/A,N/A,100.0,2.04,8.0,0.25,94.0,N/A,N/A,0.25,N/A,N/A,N/A,N/A,3.0,0.25,36.0,40.0,44.0,80.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.0,0.51,6.0,2.55,100.0,0.0,N/A,N/A,N/A,N/A,89.0,94.0,0.76,1.78,19.0,0.25,3.0,3.0,16.67,0.25,61.0,92.0,4.33,68.58,100.0,0.0,39.0,0.07,100.0,100.0,0.38,0.38,100.0,0.36
Alexander Lyng,8487,Left Winger,125,19,€480K,Superligaen,N/A,N/A,50.0,20.16,N/A,N/A,80.0,48.0,33.33,1.44,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.0,1.44,0.0,2.16,100.0,2.88,100.0,66.67,88.0,62.0,45.0,6.48,N/A,N/A,28.0,0.72,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,72.0,0.72,N/A,N/A,15.0,70.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0,7.2,0.0,0.0,N/A,N/A,N/A,N/A,75.0,48.0,0.72,2.88,N/A,N/A,85.0,60.0,66.67,1.44,75.0,90.0,6.48,51.12,100.0,0.0,52.0,0.13,92.0,92.0,0.52,0.52,45.0,0.2
Anders K. Jacobsen,8231,Striker,263,34,€400K,Superligaen,N/A,N/A,7.0,6.16,N/A,N/A,20.0,10.0,16.67,0.68,0.0,0.0,20.0,0.34,10.0,0.34,N/A,N/A,N/A,N/A,100.0,0.0,50.0,0.34,N/A,N/A,N/A,N/A,0.0,0.0,17.65,1.03,N/A,N/A,33.0,1.03,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.0,56.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53.0,0.68,10.0,1.37,100.0,0.0,N/A,N/A,N/A,N/A,0.0,33.0,0.68,1.03,N/A,N/A,40.0,100.0,100.0,0.34,0.0,3.0,1.37,16.77,100.0,0.0,27.0,0.03,23.0,23.0,0.15,0.15,30.0,0.1
Andreas Hansen,10202,Keeper,990,29,€900K,Superligaen,6.0,3.55,N/A,N/A,31.0,0.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.0,0.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0,0.0,N/A,N/A,N/A,N/A,N/A,38.0,1.73,N/A,12.0,-0.62,12.0,0.36,N/A,N/A,100.0,62.9,100.0,93.72,N/A,N/A,N/A,N/A,N/A,31.0,0.09,38.0,0.09,N/A,0.0,0.0,N/A,N/A,N/A,N/A,0.0,0.0,12.0,55.81,12.0,2.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andreas Oggesen,8487,Right Back,735,30,€260K,Superligaen,58.0,1.71,56.0,36.86,N/A,N/A,22.0,25.0,33.33,0.37,69.0,0.24,N/A,N/A,42.0,0.98,N/A,N/A,67.0,28.57,58.0,0.37,50.0,0.73,44.0,0.49,89.0,80.0,11.0,31.0,50.0,2.69,N/A,N/A,44.0,0.73,6.0,0.24,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,11.0,0.49,25.0,31.11,36.0,78.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.0,4.29,100.0,0.0,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,50.0,0.73,31.0,19.0,53.85,0.86,56.0,19.0,0.61,67.1,31.0,0.12,33.0,0.06,N/A,N/A,N/A,N/A,N/A,N/A
Andreas Poulsen,8415,Left Back,729,24,€440K,Superligaen,44.0,1.6,36.0,29.14,N/A,N/A,17.0,19.0,28.57,0.25,72.0,0.25,83.0,0.37,72.0,1.48,N/A,N/A,42.0,21.43,44.0,0.62,42.0,0.86,14.0,0.12,14.0,20.0,8.0,8.0,42.55,2.47,N/A,N/A,47.0,0.74,33.0,0.62,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,61.0,1.23,47.0,43.33,33.0,77.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58.0,0.25,19.0,3.09,100.0,0.0,N/A,N/A,N/A,N/A,53.0,N/A,N/A,0.74,56.0,0.74,33.0,31.0,58.33,0.86,17.0,33.0,1.23,56.54,14.0,0.25,44.0,0.1,50.0,50.0,0.04,0.04,N/A,N/A
Andres Jasson,8470,Left Winger,754,22,€1.2M,Superligaen,60.0,0.95,72.0,24.47,N/A,N/A,22.0,30.0,22.22,0.24,70.0,0.24,55.0,0.6,55.0,1.43,N/A,N/A,40.0,18.18,18.0,1.67,8.0,1.55,38.0,0.72,48.0,40.0,95.0,92.0,52.59,7.28,N/A,N/A,85.0,1.67,100.0,3.7,40.0,N/A,N/A,0.12,N/A,N/A,N/A,N/A,80.0,1.07,70.0,61.54,78.0,84.71,N/A,N/A,5.0,0.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78.0,0.72,70.0,4.06,0.0,0.0,N/A,N/A,N/A,N/A,15.0,20.0,0.24,1.19,32.0,0.24,92.0,78.0,68.18,1.79,72.0,20.0,2.63,50.97,15.0,0.36,28.0,0.09,22.0,22.0,0.1,0.1,25.0,0.07
André Rømer,8410,Central Midfielder,726,31,€1.1M,Superligaen,84.0,3.47,70.0,43.64,N/A,N/A,61.0,43.0,50.0,0.87,0.0,0.0,48.0,0.25,16.0,0.37,N/A,N/A,88.0,50.0,61.0,0.62,45.0,0.87,52.0,0.62,42.0,50.0,32.0,51.0,52.38,4.09,N/A,N/A,30.0,0.87,35.0,0.87,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,70.0,1.24,59.0,59.57,61.0,85.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.0,0.12,86.0,6.45,100.0,0.0,N/A,N/A,N/A,N/A,42.0,N/A,N/A,0.74,48.0,0.12,39.0,26.0,46.67,0.87,51.0,29.0,0.74,63.1,55.0,0.12,16.0,0.03,43.0,43.0,0.05,0.05,N/A,N/A
Anosike Ementa,9939,Striker,464,22,€1.3M,Superligaen,40.0,0.19,77.0,16.68,N/A,N/A,93.0,100.0,66.07,7.18,0.0,0.0,13.0,0.19,90.0,1.94,N/A,N/A,100.0,100.0,87.0,0.39,N/A,N/A,40.0,0.58,27.0,30.0,90.0,93.0,57.47,9.7,N/A,N/A,67.0,1.94,70.0,1.75,57.0,N/A,N/A,0.39,N/A,N/A,N/A,N/A,53.0,0.19,23.0,25.0,30.0,67.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.0,0.78,27.0,2.13,100.0,0.0,N/A,N/A,N/A,N/A,53.0,50.0,0.97,2.91,67.0,0.19,53.0,100.0,100.0,0.39,77.0,87.0,7.18,42.48,100.0,0.0,80.0,0.13,63.0,73.0,0.48,0.48,83.0,0.67
Aral Simsir,8113,Left Midfielder,730,22,€1.1M,Superligaen,68.0,2.47,36.0,30.58,N/A,N/A,12.0,25.0,33.33,0.25,96.0,0.37,65.0,0.49,96.0,2.96,N/A,N/A,72.0,30.3,4.0,2.1,80.0,0.49,100.0,4.81,42.0,50.0,96.0,38.0,49.22,7.77,N/A,N/A,1.0,0.12,87.0,2.22,87.0,N/A,N/A,0.37,N/A,N/A,N/A,N/A,6.0,0.37,83.0,74.07,35.0,81.05,N/A,N/A,N/A,N/A,94.0,N/A,N/A,N/A,N/A,0.12,N/A,N/A,90.0,0.99,36.0,3.95,100.0,0.0,N/A,N/A,N/A,N/A,90.0,83.0,0.74,2.22,84.0,1.23,4.0,30.0,50.0,0.25,65.0,100.0,7.03,65.59,100.0,0.0,96.0,0.34,86.0,80.0,0.12,0.22,88.0,0.33
