Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Aaron Ramsdale,8466,Keeper,450,26,€28M,Premier League,59.0,6.0,N/A,N/A,52.0,0.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0,0.0,N/A,N/A,N/A,N/A,N/A,4.0,2.6,N/A,70.0,0.31,52.0,1.0,N/A,N/A,26.0,34.48,37.0,68.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,22.0,62.86,70.0,4.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aaron Wan-Bissaka,8654,Right Back,478,26,€21M,Premier League,54.0,1.32,46.0,31.63,N/A,N/A,11.0,9.0,10.0,0.19,0.0,0.0,60.0,0.19,82.0,1.32,N/A,N/A,95.0,44.44,11.0,1.51,N/A,N/A,95.0,1.69,53.0,64.29,56.0,23.0,45.45,4.71,N/A,N/A,77.0,1.51,47.0,0.75,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,60.0,1.13,86.0,58.33,58.0,84.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86.0,0.56,84.0,5.27,100.0,0.0,N/A,N/A,N/A,N/A,37.0,68.0,0.19,0.38,72.0,0.75,40.0,35.0,54.55,1.13,37.0,67.0,1.51,59.31,100.0,0.0,75.0,0.09,35.0,35.0,0.01,0.01,61.0,0.0
Abdoulaye Doucouré,8668,Attacking Midfielder,397,31,€9.5M,Premier League,53.0,1.36,11.0,24.71,N/A,N/A,90.0,70.0,66.67,1.81,0.0,0.0,66.0,0.45,51.0,0.91,N/A,N/A,N/A,N/A,54.0,0.91,N/A,N/A,53.0,0.68,66.0,60.0,42.0,57.0,53.66,4.99,N/A,N/A,78.0,2.04,12.0,0.45,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,25.0,0.45,78.0,66.67,16.0,80.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.0,0.91,73.0,6.12,100.0,0.0,N/A,N/A,N/A,N/A,34.0,N/A,N/A,0.68,N/A,N/A,46.0,55.0,55.56,1.13,7.0,43.0,1.13,42.62,100.0,0.0,10.0,0.02,52.0,52.0,0.05,0.05,N/A,N/A
Abdul Fatawu,8197,Right Winger,276,20,€13M,Premier League,93.0,2.28,4.0,13.7,N/A,N/A,91.0,72.0,54.55,1.96,79.0,0.33,28.0,0.33,10.0,0.65,N/A,N/A,72.0,33.33,28.0,1.96,19.0,1.3,80.0,2.28,29.0,36.84,100.0,84.0,56.52,12.72,N/A,N/A,65.0,1.3,98.0,3.59,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,91.0,0.98,37.0,50.0,3.0,62.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.0,0.65,93.0,6.2,100.0,0.0,N/A,N/A,N/A,N/A,65.0,46.0,0.65,2.28,56.0,0.65,97.0,75.0,80.0,3.91,61.0,7.0,1.3,53.15,100.0,0.0,63.0,0.2,10.0,10.0,0.05,0.05,22.0,0.02
Adam Armstrong,8466,Striker,230,27,€20M,Premier League,59.0,0.39,86.0,21.13,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,93.0,1.57,21.0,0.39,N/A,N/A,N/A,N/A,10.0,2.35,7.0,1.17,N/A,N/A,N/A,N/A,3.0,3.0,21.05,1.57,N/A,N/A,3.0,0.39,14.0,0.39,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,93.0,0.78,48.0,50.0,100.0,87.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.0,1.57,0.0,0.0,N/A,N/A,N/A,N/A,59.0,31.0,0.78,2.74,N/A,N/A,55.0,24.0,33.33,0.39,76.0,55.0,5.48,38.35,7.0,0.39,55.0,0.06,24.0,31.0,0.31,0.31,10.0,0.03
Adam Lallana,8466,Attacking Midfielder,114,36,€1.3M,Premier League,28.0,0.79,95.0,63.95,N/A,N/A,N/A,N/A,N/A,N/A,100.0,1.58,84.0,0.79,80.0,1.58,N/A,N/A,N/A,N/A,0.0,3.16,14.0,1.58,84.0,1.58,73.0,66.67,36.0,4.0,31.58,4.74,N/A,N/A,94.0,3.16,30.0,0.79,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,94.0,2.37,13.0,25.0,59.0,88.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.0,1.58,87.0,7.11,100.0,0.0,N/A,N/A,N/A,N/A,92.0,N/A,N/A,2.37,N/A,N/A,84.0,100.0,100.0,2.37,98.0,89.0,3.95,93.16,0.0,1.58,82.0,0.16,77.0,77.0,0.13,0.13,N/A,N/A
Adam Smith,8678,Right Back,329,33,€1.5M,Premier League,23.0,0.82,7.0,20.52,N/A,N/A,79.0,82.0,66.67,1.64,0.0,0.0,N/A,N/A,19.0,0.27,N/A,N/A,33.0,12.5,68.0,0.27,58.0,0.82,53.0,0.55,54.0,66.67,53.0,89.0,65.38,4.65,N/A,N/A,9.0,0.27,75.0,1.09,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,56.0,1.09,11.0,25.0,37.0,80.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.0,3.83,100.0,0.0,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,40.0,0.27,12.0,11.0,40.0,0.55,4.0,19.0,0.27,47.33,33.0,0.27,7.0,0.01,N/A,N/A,N/A,N/A,N/A,N/A
Adam Wharton,9826,Central Midfielder,537,20,€35M,Premier League,94.0,3.52,67.0,43.91,N/A,N/A,42.0,18.0,30.77,0.67,0.0,0.0,54.0,0.34,66.0,1.34,N/A,N/A,76.0,33.33,20.0,1.68,2.0,2.51,27.0,0.17,22.0,14.29,49.0,16.0,41.89,5.2,N/A,N/A,8.0,0.5,81.0,2.01,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,60.0,1.17,66.0,61.76,24.0,82.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.0,0.84,92.0,7.71,100.0,0.0,N/A,N/A,N/A,N/A,60.0,92.0,0.67,1.17,86.0,0.84,49.0,59.0,57.14,1.34,69.0,36.0,0.84,69.22,100.0,0.0,65.0,0.1,30.0,30.0,0.03,0.03,66.0,0.06
Adama Traoré,9879,Right Winger,560,28,€9.5M,Premier League,35.0,0.48,45.0,21.86,N/A,N/A,84.0,63.0,50.0,1.45,78.0,0.32,80.0,0.96,55.0,1.77,N/A,N/A,39.0,18.18,88.0,0.48,66.0,0.48,94.0,3.38,82.0,61.76,96.0,91.0,58.62,8.2,N/A,N/A,64.0,1.29,84.0,2.25,57.0,N/A,N/A,0.16,N/A,N/A,N/A,N/A,33.0,0.16,34.0,42.86,62.0,81.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.0,0.64,63.0,4.5,100.0,0.0,N/A,N/A,N/A,N/A,70.0,73.0,0.96,2.57,55.0,0.64,47.0,67.0,71.43,0.8,39.0,54.0,4.98,47.09,25.0,0.32,74.0,0.23,84.0,87.0,0.39,0.39,76.0,0.33
Alejandro Garnacho,10260,Left Winger,410,20,€50M,Premier League,52.0,0.66,47.0,22.17,N/A,N/A,29.0,33.0,20.0,0.22,62.0,0.22,76.0,0.88,40.0,1.32,N/A,N/A,72.0,33.33,7.0,2.85,87.0,0.22,25.0,0.66,13.0,17.65,30.0,11.0,35.85,4.17,N/A,N/A,31.0,0.66,67.0,1.76,63.0,N/A,N/A,0.22,N/A,N/A,N/A,N/A,73.0,0.66,34.0,42.86,70.0,84.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.0,0.66,90.0,5.49,100.0,0.0,N/A,N/A,N/A,N/A,80.0,82.0,1.1,3.07,57.0,0.66,74.0,83.0,85.71,1.32,48.0,78.0,6.8,49.83,39.0,0.22,28.0,0.08,93.0,94.0,0.52,0.52,78.0,0.34
Alex Iwobi,9879,Left Winger,590,28,€30M,Premier League,64.0,1.07,75.0,30.2,N/A,N/A,N/A,N/A,N/A,N/A,56.0,0.15,35.0,0.46,70.0,2.14,N/A,N/A,31.0,10.53,55.0,1.22,81.0,0.31,48.0,1.22,31.0,38.1,9.0,20.0,38.89,3.2,N/A,N/A,21.0,0.46,10.0,0.46,55.0,N/A,N/A,0.15,N/A,N/A,N/A,N/A,56.0,0.46,49.0,53.85,58.0,81.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.0,0.15,48.0,3.97,100.0,0.0,N/A,N/A,N/A,N/A,33.0,58.0,0.76,1.53,34.0,0.31,62.0,65.0,70.0,1.07,69.0,35.0,3.51,55.07,100.0,0.0,75.0,0.23,30.0,30.0,0.11,0.11,44.0,0.12
Alex Scott,8678,Defensive Midfielder,197,21,€25M,Premier League,84.0,2.74,54.0,39.29,N/A,N/A,25.0,19.0,33.33,0.46,0.0,0.0,67.0,0.46,70.0,1.37,N/A,N/A,N/A,N/A,53.0,0.91,23.0,1.37,N/A,N/A,N/A,N/A,100.0,89.0,65.85,12.34,N/A,N/A,19.0,0.91,100.0,4.57,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,84.0,1.83,100.0,100.0,69.0,88.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98.0,2.28,95.0,8.22,100.0,0.0,N/A,N/A,N/A,N/A,69.0,76.0,0.46,1.37,N/A,N/A,95.0,27.0,43.75,3.2,81.0,53.0,1.37,74.92,100.0,0.0,40.0,0.04,59.0,59.0,0.06,0.06,95.0,0.32
