Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Abakar Sylla,9848,Center Back,390,21,€15M,Ligue 1,29.0,1.62,81.0,61.15,N/A,N/A,41.0,16.0,46.67,1.62,0.0,0.0,96.0,0.69,N/A,N/A,N/A,N/A,N/A,N/A,38.0,0.23,75.0,0.23,59.0,0.23,46.0,25.0,71.0,17.0,53.49,5.31,N/A,N/A,91.0,1.85,54.0,0.69,94.0,N/A,N/A,0.23,N/A,N/A,N/A,N/A,25.0,0.92,14.0,29.17,64.0,88.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54.0,4.15,100.0,0.0,N/A,N/A,N/A,N/A,83.0,74.0,0.23,0.92,N/A,N/A,77.0,54.0,58.33,1.62,84.0,90.0,1.62,84.23,14.0,0.46,26.0,0.01,83.0,83.0,0.07,0.07,87.0,0.11
Abdallah Sima,8521,Left Winger,235,23,€7M,Ligue 1,56.0,0.77,17.0,14.94,N/A,N/A,100.0,83.0,58.82,3.83,80.0,0.38,66.0,0.77,28.0,0.77,N/A,N/A,89.0,50.0,19.0,2.3,N/A,N/A,17.0,0.38,12.0,14.29,94.0,66.0,48.78,7.66,N/A,N/A,61.0,1.15,83.0,2.68,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,44.0,0.38,39.0,50.0,9.0,68.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55.0,0.77,80.0,5.36,100.0,0.0,N/A,N/A,N/A,N/A,70.0,69.0,1.15,2.3,36.0,0.38,52.0,100.0,100.0,0.77,34.0,64.0,3.83,43.28,100.0,0.0,12.0,0.03,34.0,41.0,0.12,0.12,59.0,0.25
Abdoulaye Bamba,8121,Center Back,244,34,€500K,Ligue 1,54.0,2.58,1.0,21.39,N/A,N/A,22.0,81.0,75.0,1.11,0.0,0.0,N/A,N/A,74.0,0.37,N/A,N/A,100.0,100.0,100.0,0.0,62.0,0.37,N/A,N/A,N/A,N/A,23.0,93.0,71.43,3.69,N/A,N/A,33.0,0.74,59.0,0.74,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,68.0,1.48,48.0,46.67,12.0,81.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.0,2.21,100.0,0.0,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,90.0,0.37,22.0,12.0,40.0,0.74,1.0,23.0,0.37,39.84,23.0,0.37,81.0,0.06,N/A,N/A,N/A,N/A,N/A,N/A
Abdoulaye Touré,9746,Central Midfielder,559,30,€3.5M,Ligue 1,76.0,3.06,20.0,28.5,N/A,N/A,78.0,82.0,61.54,1.29,81.0,0.16,61.0,0.32,28.0,0.48,N/A,N/A,N/A,N/A,15.0,1.61,65.0,0.81,42.0,0.48,79.0,60.0,53.0,61.0,52.38,5.31,N/A,N/A,53.0,1.29,67.0,1.45,88.0,N/A,N/A,0.32,N/A,N/A,N/A,N/A,47.0,0.97,56.0,57.58,38.0,83.1,N/A,N/A,N/A,N/A,98.0,N/A,N/A,N/A,N/A,0.32,N/A,N/A,75.0,0.64,44.0,4.83,100.0,0.0,N/A,N/A,N/A,N/A,74.0,79.0,0.64,1.61,N/A,N/A,40.0,46.0,57.14,1.29,10.0,46.0,1.29,48.94,55.0,0.16,24.0,0.03,97.0,75.0,0.14,0.39,81.0,0.25
Abdukodir Khusanov,8588,Center Back,466,20,€3M,Ligue 1,59.0,2.9,28.0,36.89,N/A,N/A,90.0,51.0,64.0,3.09,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0,0.0,80.0,0.19,N/A,N/A,N/A,N/A,46.0,42.0,60.0,4.64,N/A,N/A,59.0,1.16,13.0,0.19,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,97.0,3.09,84.0,60.0,68.0,89.25,N/A,N/A,4.0,0.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.0,5.6,100.0,0.0,N/A,N/A,N/A,N/A,61.0,87.0,0.39,0.58,N/A,N/A,39.0,74.0,71.43,0.97,30.0,39.0,0.58,59.1,54.0,0.19,22.0,0.01,46.0,46.0,0.02,0.02,58.0,0.01
Abner,9748,Left Back,469,24,€7.5M,Ligue 1,37.0,0.96,62.0,33.97,N/A,N/A,18.0,27.0,40.0,0.38,0.0,0.0,72.0,0.19,82.0,1.34,N/A,N/A,85.0,35.0,57.0,0.58,57.0,0.77,43.0,0.38,48.0,40.0,12.0,17.0,44.74,3.26,N/A,N/A,68.0,1.54,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,53.0,0.96,28.0,33.33,37.0,81.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.0,0.58,57.0,4.41,100.0,0.0,N/A,N/A,N/A,N/A,67.0,68.0,0.38,0.77,85.0,1.34,48.0,42.0,61.54,1.54,53.0,88.0,2.69,65.82,43.0,0.19,93.0,0.28,60.0,62.0,0.03,0.03,67.0,0.02
Achraf Hakimi,9847,Right Back,533,25,€65M,Ligue 1,53.0,1.35,93.0,67.54,N/A,N/A,35.0,27.0,40.0,0.68,93.0,0.51,68.0,0.17,97.0,3.38,N/A,N/A,52.0,21.05,42.0,0.84,82.0,0.34,80.0,1.01,52.0,46.15,57.0,70.0,58.82,5.07,N/A,N/A,7.0,0.17,67.0,1.18,85.0,N/A,N/A,0.17,N/A,N/A,N/A,N/A,73.0,1.35,88.0,66.67,93.0,91.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.0,0.34,83.0,5.91,100.0,0.0,N/A,N/A,N/A,N/A,95.0,75.0,0.51,1.52,53.0,0.68,57.0,73.0,76.92,1.69,93.0,93.0,4.05,97.09,47.0,0.17,100.0,0.39,90.0,93.0,0.16,0.16,73.0,0.07
Ado Onaiwu,8583,Left Winger,328,28,€2.3M,Ligue 1,67.0,0.55,90.0,25.52,N/A,N/A,81.0,67.0,50.0,3.02,0.0,0.0,57.0,0.55,74.0,1.37,N/A,N/A,100.0,100.0,38.0,1.65,55.0,0.27,81.0,1.1,69.0,44.44,79.0,83.0,47.06,6.59,N/A,N/A,29.0,1.1,38.0,1.1,57.0,N/A,N/A,0.27,N/A,N/A,N/A,N/A,74.0,0.27,100.0,100.0,48.0,75.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.0,0.55,95.0,4.66,5.0,0.27,N/A,N/A,N/A,N/A,67.0,71.0,1.37,2.74,74.0,0.27,88.0,74.0,80.0,1.1,90.0,33.0,4.12,51.31,100.0,0.0,67.0,0.1,64.0,74.0,0.51,0.51,83.0,0.52
Adrien Thomasson,8588,Central Midfielder,564,30,€5.5M,Ligue 1,24.0,0.8,63.0,42.61,N/A,N/A,45.0,27.0,33.33,0.64,80.0,0.16,46.0,0.16,90.0,2.07,N/A,N/A,75.0,33.33,34.0,1.12,18.0,1.76,64.0,0.8,45.0,38.46,82.0,44.0,47.87,7.18,N/A,N/A,85.0,2.71,82.0,1.91,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,56.0,1.12,24.0,45.45,46.0,85.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.0,0.96,84.0,7.02,100.0,0.0,N/A,N/A,N/A,N/A,37.0,54.0,0.32,0.64,87.0,0.96,80.0,38.0,54.17,2.07,69.0,73.0,2.23,72.45,100.0,0.0,96.0,0.28,33.0,33.0,0.03,0.03,54.0,0.03
Adrien Truffert,9851,Left Back,486,22,€23M,Ligue 1,21.0,0.74,9.0,23.89,N/A,N/A,66.0,53.0,45.45,0.93,0.0,0.0,82.0,0.74,36.0,0.56,N/A,N/A,58.0,13.33,79.0,0.37,70.0,0.74,25.0,0.19,24.0,12.5,28.0,45.0,50.0,4.44,N/A,N/A,38.0,0.93,22.0,0.56,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,29.0,0.56,8.0,25.0,9.0,76.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69.0,0.56,42.0,4.81,100.0,0.0,N/A,N/A,N/A,N/A,78.0,69.0,0.56,1.67,74.0,0.37,42.0,21.0,46.67,1.3,15.0,61.0,1.85,50.56,48.0,0.19,43.0,0.06,48.0,48.0,0.05,0.05,66.0,0.09
