Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Aaron Caricol,10233,Left Midfielder,531,27,€6M,Serie A,56.0,1.86,16.0,21.86,N/A,N/A,50.0,73.0,57.14,0.68,0.0,0.0,59.0,0.34,91.0,2.03,N/A,N/A,72.0,33.33,72.0,0.34,77.0,0.34,29.0,0.17,40.0,50.0,51.0,91.0,61.9,4.41,N/A,N/A,53.0,1.36,44.0,0.85,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,50.0,0.68,19.0,39.29,15.0,77.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55.0,0.34,29.0,3.56,100.0,0.0,N/A,N/A,N/A,N/A,30.0,46.0,0.17,0.51,98.0,2.71,94.0,76.0,75.0,2.03,34.0,27.0,0.51,52.71,100.0,0.0,94.0,0.26,24.0,24.0,0.01,0.01,48.0,0.0
Abdou Harroui,9876,Attacking Midfielder,170,26,€3M,Serie A,N/A,N/A,48.0,22.24,N/A,N/A,88.0,80.0,57.14,2.12,0.0,0.0,85.0,1.06,N/A,N/A,N/A,N/A,N/A,N/A,14.0,2.65,N/A,N/A,76.0,1.59,24.0,27.27,50.0,9.0,34.48,5.29,N/A,N/A,70.0,1.59,14.0,0.53,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.0,77.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.0,3.18,100.0,0.0,N/A,N/A,N/A,N/A,74.0,48.0,0.53,2.65,N/A,N/A,65.0,100.0,100.0,1.06,59.0,58.0,3.71,49.24,5.0,0.53,33.0,0.05,42.0,47.0,0.14,0.14,32.0,0.09
Adam Marusic,8543,Right Back,301,31,€4.5M,Serie A,40.0,0.9,74.0,42.16,N/A,N/A,79.0,66.0,57.14,1.2,0.0,0.0,N/A,N/A,21.0,0.6,N/A,N/A,45.0,25.0,15.0,1.2,26.0,0.9,38.0,0.3,40.0,33.33,40.0,32.0,46.15,3.59,N/A,N/A,26.0,0.6,45.0,0.9,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,81.0,1.2,83.0,60.0,87.0,91.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.0,4.19,100.0,0.0,N/A,N/A,N/A,N/A,30.0,74.0,0.3,0.3,45.0,0.6,28.0,15.0,40.0,0.6,66.0,N/A,N/A,68.77,100.0,0.0,17.0,0.03,28.0,28.0,0.01,0.01,51.0,0.01
Adam Masina,9804,Center Back,598,30,€2M,Serie A,69.0,3.16,77.0,57.64,N/A,N/A,81.0,86.0,75.0,3.61,100.0,0.3,N/A,N/A,69.0,0.3,N/A,N/A,83.0,33.33,51.0,0.15,20.0,0.9,64.0,0.15,63.0,33.33,70.0,68.0,62.71,5.57,N/A,N/A,33.0,0.9,38.0,0.45,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,20.0,0.6,43.0,50.0,33.0,86.65,96.0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.0,3.31,100.0,0.0,N/A,N/A,N/A,N/A,22.0,N/A,N/A,0.15,83.0,0.3,67.0,78.0,77.78,1.05,79.0,48.0,0.75,79.77,100.0,0.0,77.0,0.05,31.0,31.0,0.01,0.01,N/A,N/A
Adam Obert,8529,Center Back,163,22,€4M,Serie A,27.0,1.1,14.0,20.43,N/A,N/A,74.0,32.0,33.33,1.1,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0,0.0,11.0,1.66,58.0,0.55,100.0,100.0,27.0,7.0,33.33,3.31,N/A,N/A,93.0,2.76,26.0,0.55,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,97.0,2.76,19.0,40.0,13.0,77.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.0,3.31,100.0,0.0,N/A,N/A,N/A,N/A,31.0,N/A,N/A,0.55,N/A,N/A,59.0,100.0,100.0,1.1,28.0,29.0,0.55,50.8,10.0,0.55,8.0,0.02,29.0,29.0,0.02,0.02,N/A,N/A
Ademola Lookman,8524,Attacking Midfielder,283,26,€45M,Serie A,45.0,0.32,95.0,28.3,N/A,N/A,18.0,100.0,100.0,0.95,95.0,0.64,48.0,0.64,100.0,3.82,N/A,N/A,90.0,42.11,2.0,3.18,50.0,0.32,95.0,3.18,85.0,66.67,85.0,88.0,52.38,7.0,N/A,N/A,42.0,1.27,42.0,1.27,78.0,N/A,N/A,0.64,N/A,N/A,N/A,N/A,72.0,0.32,45.0,50.0,82.0,80.18,N/A,N/A,N/A,N/A,92.0,N/A,N/A,N/A,N/A,0.32,N/A,N/A,40.0,0.32,75.0,2.86,0.0,0.0,N/A,N/A,N/A,N/A,95.0,80.0,1.59,4.45,100.0,2.54,92.0,50.0,60.0,0.95,100.0,100.0,13.04,64.88,100.0,0.0,100.0,0.69,92.0,85.0,0.54,0.79,70.0,0.54
Adrien Tamèze,9804,Center Back,239,30,€6M,Serie A,29.0,1.13,41.0,32.01,N/A,N/A,31.0,20.0,20.0,0.38,0.0,0.0,N/A,N/A,61.0,1.13,N/A,N/A,56.0,25.0,48.0,0.75,10.0,1.88,47.0,0.38,28.0,20.0,5.0,1.0,22.73,1.88,N/A,N/A,24.0,0.75,19.0,0.38,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,98.0,3.01,82.0,75.0,42.0,84.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.0,0.38,21.0,3.39,100.0,0.0,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,69.0,0.75,13.0,28.0,50.0,0.38,30.0,80.0,2.64,51.21,24.0,0.38,86.0,0.19,N/A,N/A,N/A,N/A,N/A,N/A
Adrián Bernabé,10167,Defensive Midfielder,619,23,€15M,Serie A,94.0,4.65,80.0,50.45,N/A,N/A,39.0,82.0,66.67,0.58,0.0,0.0,87.0,0.87,92.0,2.04,N/A,N/A,68.0,30.0,50.0,0.73,19.0,1.31,68.0,0.73,58.0,55.56,84.0,93.0,62.9,5.67,N/A,N/A,15.0,0.58,93.0,2.33,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,52.0,0.73,77.0,69.57,47.0,85.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.0,4.22,100.0,0.0,N/A,N/A,N/A,N/A,67.0,N/A,N/A,1.45,60.0,0.44,79.0,72.0,71.43,1.45,83.0,22.0,0.44,75.9,49.0,0.15,46.0,0.07,43.0,44.0,0.04,0.04,N/A,N/A
Albert Gudmundsson,8535,Striker,193,27,€30M,Serie A,27.0,0.47,56.0,24.25,N/A,N/A,38.0,26.0,25.0,0.47,0.0,0.0,79.0,0.93,N/A,N/A,N/A,N/A,N/A,N/A,94.0,0.47,29.0,0.93,65.0,1.4,89.0,75.0,39.0,86.0,55.56,4.66,N/A,N/A,12.0,0.47,80.0,2.8,100.0,N/A,N/A,1.4,N/A,N/A,N/A,N/A,95.0,0.93,17.0,25.0,35.0,78.79,100.0,0.47,N/A,N/A,100.0,N/A,N/A,N/A,N/A,0.93,N/A,N/A,82.0,0.93,95.0,5.6,100.0,0.0,N/A,N/A,N/A,N/A,80.0,88.0,1.4,2.8,N/A,N/A,N/A,N/A,N/A,N/A,33.0,41.0,3.26,45.23,100.0,0.0,21.0,0.03,100.0,32.0,0.12,0.85,100.0,0.93
Alberto Dossena,10171,Center Back,515,25,€6M,Serie A,53.0,2.45,43.0,44.04,N/A,N/A,93.0,85.0,73.53,4.37,94.0,0.17,N/A,N/A,53.0,0.17,N/A,N/A,N/A,N/A,25.0,0.35,35.0,0.52,68.0,0.17,67.0,50.0,91.0,81.0,65.57,6.99,N/A,N/A,49.0,1.05,48.0,0.52,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,69.0,1.4,65.0,56.0,52.0,88.42,N/A,N/A,9.0,0.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.0,3.67,100.0,0.0,N/A,N/A,N/A,N/A,68.0,84.0,0.35,0.7,N/A,N/A,79.0,46.0,58.33,1.22,38.0,52.0,0.87,62.74,100.0,0.0,33.0,0.01,57.0,57.0,0.03,0.03,68.0,0.01
