Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Akihiro Ienaga,6304,Right Winger,2139,38,N/A,J. League,47.0,0.8,98.0,52.05,N/A,N/A,86.0,95.0,56.79,1.94,61.0,0.17,16.0,0.25,56.0,1.47,N/A,N/A,34.0,17.54,82.0,0.59,58.0,0.63,20.0,0.46,82.0,61.11,34.0,87.0,52.25,3.91,N/A,N/A,19.0,0.76,6.0,0.38,74.0,N/A,N/A,0.25,N/A,N/A,N/A,N/A,41.0,0.42,77.0,57.58,96.0,88.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.0,0.8,39.0,3.49,100.0,0.0,N/A,N/A,N/A,N/A,48.0,61.0,0.72,1.77,43.0,0.42,55.0,70.0,70.37,0.8,95.0,57.0,3.49,73.13,46.0,0.08,75.0,0.19,69.0,71.0,0.23,0.23,79.0,0.29
Akimi Barada,6180,Central Midfielder,1182,33,N/A,J. League,66.0,2.28,33.0,27.72,N/A,N/A,33.0,28.0,34.48,0.76,55.0,0.08,69.0,0.46,61.0,1.22,N/A,N/A,57.0,23.91,83.0,0.3,31.0,0.91,53.0,0.46,27.0,40.0,10.0,22.0,44.33,3.27,N/A,N/A,20.0,0.91,30.0,0.84,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,18.0,0.69,61.0,45.45,26.0,76.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.0,0.23,22.0,3.73,100.0,0.0,N/A,N/A,N/A,N/A,50.0,41.0,0.23,1.14,74.0,0.84,17.0,15.0,47.06,0.61,28.0,56.0,1.37,52.16,18.0,0.23,78.0,0.15,72.0,73.0,0.12,0.12,39.0,0.03
Akinari Kawazura,8006,Center Back,1875,30,N/A,J. League,56.0,2.98,15.0,28.03,N/A,N/A,13.0,64.0,66.07,1.78,91.0,0.1,43.0,0.05,49.0,0.19,N/A,N/A,N/A,N/A,20.0,0.29,35.0,0.43,88.0,0.43,100.0,100.0,36.0,70.0,64.47,4.7,N/A,N/A,51.0,0.96,83.0,1.2,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,40.0,1.15,39.0,35.84,17.0,76.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.0,0.05,36.0,2.74,100.0,0.0,N/A,N/A,N/A,N/A,20.0,36.0,0.05,0.19,N/A,N/A,64.0,68.0,70.37,0.91,13.0,17.0,0.38,48.82,68.0,0.05,22.0,0.01,30.0,30.0,0.02,0.02,42.0,0.0
Akito Fukuta,162193,Defensive Midfielder,1749,32,N/A,J. League,38.0,1.34,61.0,39.52,N/A,N/A,57.0,62.0,50.0,1.03,44.0,0.05,23.0,0.15,32.0,0.67,N/A,N/A,60.0,25.0,78.0,0.41,82.0,0.46,25.0,0.26,26.0,38.46,19.0,75.0,54.62,3.65,N/A,N/A,16.0,0.87,20.0,0.67,84.0,N/A,N/A,0.15,N/A,N/A,N/A,N/A,38.0,0.98,59.0,44.83,73.0,84.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.0,0.36,42.0,4.32,100.0,0.0,N/A,N/A,N/A,N/A,23.0,57.0,0.31,0.72,44.0,0.21,35.0,25.0,51.52,0.87,50.0,49.0,1.13,59.59,56.0,0.1,43.0,0.08,69.0,70.0,0.12,0.12,75.0,0.13
Akito Suzuki,6180,Striker,1618,21,N/A,J. League,60.0,0.61,58.0,16.46,N/A,N/A,50.0,52.0,41.0,2.28,0.0,0.0,73.0,0.89,62.0,1.17,N/A,N/A,45.0,12.5,60.0,1.28,15.0,0.67,27.0,0.5,38.0,36.0,30.0,35.0,38.25,4.62,N/A,N/A,37.0,1.5,40.0,1.17,62.0,N/A,N/A,0.44,N/A,N/A,N/A,N/A,92.0,0.72,33.0,50.0,47.0,70.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.0,0.78,80.0,3.17,100.0,0.0,N/A,N/A,N/A,N/A,45.0,60.0,1.11,2.56,47.0,0.06,75.0,83.0,73.33,0.61,50.0,48.0,4.73,40.05,100.0,0.0,60.0,0.1,58.0,68.0,0.43,0.43,43.0,0.31
Aleksandar Cavric,4397,Striker,1244,30,€750K,J. League,46.0,0.8,14.0,16.5,N/A,N/A,85.0,52.0,35.62,1.88,74.0,0.22,70.0,0.72,40.0,1.16,N/A,N/A,25.0,13.64,62.0,0.87,75.0,0.51,85.0,1.66,55.0,46.94,75.0,30.0,40.2,5.79,N/A,N/A,80.0,1.95,45.0,1.16,97.0,N/A,N/A,0.51,N/A,N/A,N/A,N/A,44.0,0.43,34.0,39.29,7.0,66.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.0,0.72,49.0,3.69,100.0,0.0,N/A,N/A,N/A,N/A,88.0,92.0,1.16,3.04,27.0,0.22,65.0,66.0,68.42,0.94,36.0,84.0,5.14,45.29,100.0,0.0,39.0,0.12,90.0,92.0,0.35,0.35,93.0,0.44
Anderson Lopes,6581,Striker,2612,31,N/A,J. League,50.0,0.52,38.0,13.23,N/A,N/A,20.0,50.0,40.78,1.45,67.0,0.1,68.0,0.83,43.0,1.03,N/A,N/A,62.0,20.0,43.0,1.41,82.0,0.17,70.0,0.93,65.0,49.09,12.0,28.0,37.09,3.51,N/A,N/A,33.0,1.41,30.0,1.0,92.0,N/A,N/A,0.65,N/A,N/A,N/A,N/A,30.0,0.1,57.0,60.0,72.0,77.89,82.0,0.03,N/A,N/A,95.0,N/A,N/A,N/A,N/A,0.21,N/A,N/A,23.0,0.41,13.0,1.86,100.0,0.0,N/A,N/A,N/A,N/A,75.0,80.0,1.45,3.41,40.0,0.03,10.0,85.0,75.0,0.1,12.0,60.0,5.51,30.91,18.0,0.24,53.0,0.09,88.0,82.0,0.49,0.66,92.0,0.67
Asahi Sasaki,6304,Center Back,2577,24,N/A,J. League,30.0,2.37,62.0,45.05,N/A,N/A,11.0,22.0,55.06,1.71,76.0,0.03,68.0,0.14,89.0,0.49,N/A,N/A,61.0,15.87,31.0,0.21,30.0,0.45,92.0,0.59,71.0,73.91,37.0,45.0,60.54,4.71,N/A,N/A,45.0,0.87,17.0,0.38,66.0,N/A,N/A,0.03,N/A,N/A,N/A,N/A,39.0,1.12,72.0,43.31,73.0,85.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.0,0.21,88.0,4.51,100.0,0.0,N/A,N/A,N/A,N/A,72.0,77.0,0.17,0.66,96.0,0.35,90.0,67.0,69.49,1.43,68.0,91.0,1.57,71.49,21.0,0.21,87.0,0.06,36.0,36.0,0.02,0.02,48.0,0.01
Asahi Uenaka,6581,Attacking Midfielder,1048,22,N/A,J. League,21.0,0.43,39.0,22.24,N/A,N/A,75.0,66.0,40.0,1.37,63.0,0.17,84.0,0.94,61.0,1.63,N/A,N/A,17.0,11.11,23.0,1.55,73.0,0.52,54.0,0.94,65.0,52.38,80.0,74.0,50.0,6.1,N/A,N/A,47.0,1.2,82.0,2.06,75.0,N/A,N/A,0.26,N/A,N/A,N/A,N/A,43.0,0.43,83.0,62.5,43.0,78.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.0,0.69,39.0,3.52,100.0,0.0,N/A,N/A,N/A,N/A,66.0,73.0,0.86,2.32,16.0,0.09,83.0,69.0,70.0,1.2,38.0,87.0,5.41,45.86,11.0,0.26,41.0,0.12,88.0,89.0,0.32,0.32,71.0,0.25
Atsuki Ito,6244,Attacking Midfielder,403,26,€1.7M,J. League,41.0,1.79,31.0,27.02,N/A,N/A,63.0,46.0,50.0,1.12,0.0,0.0,69.0,0.45,96.0,2.9,N/A,N/A,90.0,50.0,69.0,0.67,5.0,2.23,18.0,0.22,21.0,33.33,31.0,9.0,39.58,4.24,N/A,N/A,82.0,2.01,18.0,0.45,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,86.0,1.56,45.0,53.33,44.0,81.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.0,0.45,28.0,4.02,100.0,0.0,N/A,N/A,N/A,N/A,72.0,45.0,0.22,1.34,72.0,0.67,68.0,56.0,63.64,1.56,21.0,40.0,1.12,48.46,10.0,0.67,54.0,0.1,44.0,45.0,0.05,0.05,44.0,0.03
