Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Aderllan Santos,7841,Center Back,695,35,€250K,Liga Portugal,55.0,3.37,39.0,42.73,N/A,N/A,86.0,74.0,67.57,3.24,0.0,0.0,64.0,0.13,N/A,N/A,N/A,N/A,N/A,N/A,100.0,0.0,77.0,0.13,N/A,N/A,N/A,N/A,80.0,83.0,66.67,5.7,N/A,N/A,62.0,1.17,20.0,0.13,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,89.0,2.2,79.0,59.09,64.0,88.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.0,0.26,95.0,5.96,100.0,0.0,N/A,N/A,N/A,N/A,73.0,80.0,0.26,0.78,N/A,N/A,86.0,58.0,61.11,1.42,45.0,68.0,1.17,64.75,59.0,0.13,21.0,0.01,74.0,74.0,0.08,0.08,89.0,0.15
Adriano,1567,Central Midfielder,580,24,€800K,Liga Portugal,24.0,0.93,57.0,36.31,N/A,N/A,48.0,65.0,55.56,0.78,85.0,0.16,N/A,N/A,40.0,0.78,N/A,N/A,70.0,33.33,46.0,0.78,32.0,1.09,35.0,0.47,21.0,27.27,13.0,7.0,38.18,3.26,N/A,N/A,58.0,1.71,22.0,0.62,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,15.0,0.31,22.0,35.29,64.0,85.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.0,0.31,88.0,5.74,1.0,0.16,N/A,N/A,N/A,N/A,12.0,51.0,0.16,0.16,44.0,0.16,45.0,85.0,77.78,1.09,35.0,20.0,0.31,51.98,48.0,0.16,63.0,0.09,32.0,33.0,0.02,0.02,47.0,0.01
Adrián Butzke,10214,Striker,364,25,€350K,Liga Portugal,65.0,0.49,72.0,14.09,N/A,N/A,88.0,95.0,65.38,4.2,80.0,0.25,57.0,0.49,68.0,0.99,N/A,N/A,N/A,N/A,90.0,0.74,35.0,0.49,N/A,N/A,N/A,N/A,57.0,80.0,48.94,5.69,N/A,N/A,57.0,1.73,10.0,0.74,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,92.0,0.74,48.0,50.0,45.0,67.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.0,1.24,100.0,0.0,N/A,N/A,N/A,N/A,75.0,65.0,0.99,2.97,N/A,N/A,60.0,35.0,50.0,0.49,50.0,52.0,3.96,34.37,5.0,0.49,72.0,0.1,57.0,65.0,0.33,0.33,42.0,0.21
Adrián Marin,10264,Left Back,623,27,€2M,Liga Portugal,81.0,2.74,96.0,53.16,N/A,N/A,77.0,83.0,72.22,1.88,94.0,0.29,N/A,N/A,45.0,0.87,N/A,N/A,28.0,15.38,70.0,0.43,17.0,1.16,30.0,0.43,62.0,60.0,36.0,55.0,53.57,4.33,N/A,N/A,62.0,1.3,13.0,0.29,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,87.0,1.88,49.0,40.43,70.0,81.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49.0,0.14,66.0,4.77,100.0,0.0,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,23.0,0.29,19.0,13.0,25.0,0.43,94.0,21.0,0.43,88.84,100.0,0.0,77.0,0.16,N/A,N/A,N/A,N/A,N/A,N/A
Alan,8348,Attacking Midfielder,526,24,€3.4M,Liga Portugal,74.0,1.37,91.0,36.27,N/A,N/A,N/A,N/A,N/A,N/A,81.0,0.34,41.0,0.34,92.0,2.91,N/A,N/A,88.0,41.18,19.0,1.88,47.0,0.86,41.0,0.86,96.0,83.33,22.0,23.0,35.29,3.08,N/A,N/A,82.0,1.88,38.0,1.37,54.0,N/A,N/A,0.17,N/A,N/A,N/A,N/A,N/A,N/A,53.0,53.33,97.0,89.45,N/A,N/A,N/A,N/A,97.0,N/A,N/A,N/A,N/A,0.17,N/A,N/A,39.0,0.51,1.0,1.54,100.0,0.0,N/A,N/A,N/A,N/A,19.0,28.0,0.34,1.03,82.0,1.2,22.0,22.0,40.0,0.34,74.0,19.0,1.54,55.95,15.0,0.51,78.0,0.23,53.0,15.0,0.04,0.18,47.0,0.15
Alan Ruiz,1074320,Central Midfielder,369,31,€820K,Liga Portugal,100.0,4.15,100.0,37.8,N/A,N/A,90.0,65.0,50.0,4.39,78.0,0.24,55.0,0.49,92.0,1.46,N/A,N/A,80.0,5.56,80.0,0.98,8.0,1.71,95.0,2.44,100.0,66.67,95.0,82.0,51.22,10.24,N/A,N/A,48.0,1.46,62.0,1.71,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,65.0,60.71,65.0,75.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.0,0.73,82.0,4.39,100.0,0.0,N/A,N/A,N/A,N/A,65.0,12.0,0.24,2.68,85.0,0.24,78.0,65.0,71.43,1.22,100.0,2.0,1.46,74.63,2.0,0.73,82.0,0.11,12.0,12.0,0.09,0.09,12.0,0.01
Alan Varela,9773,Defensive Midfielder,692,23,€40M,Liga Portugal,23.0,0.91,96.0,59.57,N/A,N/A,20.0,20.0,30.0,0.39,80.0,0.13,N/A,N/A,69.0,1.3,N/A,N/A,49.0,15.79,85.0,0.26,88.0,0.26,N/A,N/A,N/A,N/A,14.0,53.0,53.06,3.38,N/A,N/A,43.0,1.17,58.0,1.3,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,41.0,0.65,11.0,30.43,93.0,91.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.0,0.39,48.0,4.42,100.0,0.0,N/A,N/A,N/A,N/A,38.0,67.0,0.26,0.65,62.0,0.39,23.0,21.0,46.15,0.78,89.0,13.0,0.13,77.12,24.0,0.39,84.0,0.16,51.0,52.0,0.04,0.04,48.0,0.01
Alejandro Marques,7842,Striker,576,24,€950K,Liga Portugal,40.0,0.16,2.0,6.88,N/A,N/A,48.0,28.0,35.29,1.88,0.0,0.0,20.0,0.16,22.0,0.31,N/A,N/A,N/A,N/A,18.0,2.19,52.0,0.31,55.0,0.78,57.0,38.46,30.0,20.0,34.52,4.53,N/A,N/A,42.0,1.41,57.0,1.56,60.0,N/A,N/A,0.31,N/A,N/A,N/A,N/A,78.0,0.47,48.0,50.0,42.0,66.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78.0,1.09,45.0,2.19,100.0,0.0,N/A,N/A,N/A,N/A,5.0,28.0,0.47,1.25,N/A,N/A,25.0,35.0,50.0,0.16,5.0,40.0,3.12,23.91,100.0,0.0,5.0,0.0,20.0,20.0,0.12,0.12,32.0,0.11
Alejandro Orellana,7842,Central Midfielder,440,24,€1M,Liga Portugal,35.0,1.23,53.0,34.36,N/A,N/A,35.0,20.0,30.0,0.61,0.0,0.0,N/A,N/A,54.0,1.02,N/A,N/A,63.0,26.67,18.0,1.23,81.0,0.41,52.0,0.61,33.0,42.86,19.0,8.0,39.13,3.68,N/A,N/A,65.0,1.84,21.0,0.61,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,71.0,1.23,40.0,50.0,71.0,86.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.0,0.61,18.0,3.48,100.0,0.0,N/A,N/A,N/A,N/A,26.0,58.0,0.2,0.41,79.0,0.82,55.0,64.0,66.67,1.23,38.0,23.0,0.41,53.39,22.0,0.41,33.0,0.04,43.0,44.0,0.03,0.03,70.0,0.05
Alex Bermejo,6004,Left Midfielder,283,25,€750K,Liga Portugal,47.0,0.64,26.0,14.31,N/A,N/A,80.0,43.0,28.57,1.27,0.0,0.0,36.0,0.32,76.0,1.91,N/A,N/A,96.0,58.33,78.0,0.64,42.0,0.95,58.0,1.27,43.0,36.36,35.0,16.0,32.5,4.13,N/A,N/A,85.0,1.91,50.0,1.59,69.0,N/A,N/A,0.32,N/A,N/A,N/A,N/A,41.0,0.32,34.0,40.0,24.0,72.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.0,0.32,14.0,2.54,100.0,0.0,N/A,N/A,N/A,N/A,66.0,72.0,0.95,2.23,93.0,2.23,20.0,26.0,50.0,0.32,30.0,59.0,3.5,39.75,30.0,0.32,74.0,0.18,86.0,88.0,0.43,0.43,68.0,0.26
Alexander Bah,9772,Right Back,456,26,€18M,Liga Portugal,38.0,1.38,91.0,46.38,N/A,N/A,62.0,38.0,50.0,1.18,85.0,0.2,66.0,0.2,43.0,0.79,N/A,N/A,17.0,10.53,15.0,1.18,15.0,1.18,85.0,1.38,32.0,43.75,96.0,60.0,55.26,8.29,N/A,N/A,66.0,1.38,83.0,2.17,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,34.0,0.79,17.0,29.17,85.0,83.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.0,0.79,89.0,5.53,100.0,0.0,N/A,N/A,N/A,N/A,55.0,N/A,N/A,0.59,32.0,0.39,100.0,72.0,68.42,2.57,96.0,91.0,3.55,91.38,100.0,0.0,45.0,0.07,62.0,62.0,0.04,0.04,N/A,N/A
Alfonso Trezza,158085,Right Winger,424,25,€750K,Liga Portugal,55.0,0.42,42.0,10.83,N/A,N/A,8.0,10.0,22.22,0.42,75.0,0.21,22.0,0.21,82.0,1.27,N/A,N/A,95.0,40.0,85.0,0.85,15.0,1.06,40.0,0.42,30.0,22.22,15.0,30.0,35.56,3.4,N/A,N/A,32.0,1.27,12.0,0.85,48.0,N/A,N/A,0.21,N/A,N/A,N/A,N/A,60.0,0.21,42.0,40.0,75.0,77.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.0,0.64,55.0,2.55,100.0,0.0,N/A,N/A,N/A,N/A,8.0,30.0,0.64,1.27,100.0,0.85,80.0,68.0,75.0,1.27,32.0,8.0,1.7,29.29,40.0,0.21,90.0,0.14,8.0,8.0,0.07,0.07,20.0,0.04
Alisson Safira,1567,Striker,555,29,€450K,Liga Portugal,N/A,N/A,60.0,12.65,N/A,N/A,95.0,80.0,52.63,4.86,85.0,0.32,32.0,0.32,90.0,1.46,N/A,N/A,N/A,N/A,40.0,1.62,32.0,0.65,N/A,N/A,N/A,N/A,82.0,70.0,44.66,7.46,N/A,N/A,80.0,2.59,70.0,1.95,62.0,N/A,N/A,0.32,N/A,N/A,N/A,N/A,70.0,0.32,N/A,N/A,25.0,61.9,N/A,N/A,N/A,N/A,90.0,N/A,N/A,N/A,N/A,0.16,N/A,N/A,68.0,0.81,32.0,1.95,100.0,0.0,N/A,N/A,N/A,N/A,28.0,32.0,0.65,1.62,N/A,N/A,57.0,55.0,60.0,0.49,55.0,38.0,3.08,34.7,10.0,0.49,92.0,0.21,65.0,38.0,0.22,0.34,57.0,0.33
Amadou Dante,158085,Left Back,344,24,€1.5M,Liga Portugal,32.0,1.31,17.0,22.5,N/A,N/A,15.0,26.0,33.33,0.26,0.0,0.0,68.0,0.26,64.0,1.05,N/A,N/A,47.0,25.0,36.0,0.78,4.0,1.83,53.0,0.78,77.0,75.0,57.0,77.0,60.61,5.23,N/A,N/A,6.0,0.26,53.0,1.05,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,81.0,1.83,62.0,45.45,83.0,82.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.0,1.57,100.0,0.0,N/A,N/A,N/A,N/A,51.0,81.0,0.26,0.52,38.0,0.52,89.0,60.0,66.67,2.09,17.0,53.0,1.05,50.23,100.0,0.0,43.0,0.07,32.0,32.0,0.01,0.01,77.0,0.05
