Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Abdelkabir Abqar,9866,Center Back,681,25,€7M,LaLiga,56.0,2.91,3.0,18.63,N/A,N/A,8.0,18.0,46.67,0.93,0.0,0.0,61.0,0.13,72.0,0.26,N/A,N/A,N/A,N/A,100.0,0.0,25.0,0.53,N/A,N/A,N/A,N/A,14.0,3.0,39.22,2.64,N/A,N/A,97.0,2.51,62.0,0.66,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,94.0,2.38,17.0,32.84,1.0,67.46,97.0,0.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.0,0.13,42.0,2.91,100.0,0.0,N/A,N/A,N/A,N/A,35.0,N/A,N/A,0.26,N/A,N/A,42.0,38.0,62.5,0.66,1.0,56.0,0.79,39.25,6.0,0.53,64.0,0.01,29.0,29.0,0.02,0.02,N/A,N/A
Abderrahman Rebbach,9866,Left Winger,203,26,€850K,LaLiga,43.0,0.89,14.0,14.63,N/A,N/A,39.0,22.0,16.67,0.44,0.0,0.0,57.0,0.44,51.0,1.33,N/A,N/A,36.0,20.0,30.0,1.77,19.0,1.33,51.0,1.33,35.0,42.86,13.0,3.0,29.63,3.55,N/A,N/A,59.0,1.33,70.0,2.22,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,54.0,66.67,7.0,67.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.0,3.55,100.0,0.0,N/A,N/A,N/A,N/A,14.0,N/A,N/A,0.89,65.0,0.89,N/A,N/A,N/A,N/A,29.0,86.0,6.21,43.89,14.0,0.44,49.0,0.13,10.0,12.0,0.05,0.05,N/A,N/A
Abdessamad Ezzalzouli,8603,Left Winger,640,22,€10M,LaLiga,26.0,0.42,52.0,25.87,N/A,N/A,80.0,70.0,45.0,1.27,0.0,0.0,72.0,0.7,32.0,0.98,N/A,N/A,N/A,N/A,13.0,2.39,72.0,0.42,77.0,2.39,59.0,51.52,88.0,61.0,51.82,8.02,N/A,N/A,49.0,1.12,81.0,2.53,57.0,N/A,N/A,0.14,N/A,N/A,N/A,N/A,59.0,0.56,43.0,60.0,42.0,77.31,91.0,0.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.0,0.84,59.0,4.22,100.0,0.0,N/A,N/A,N/A,N/A,91.0,84.0,1.41,3.38,N/A,N/A,68.0,52.0,61.54,1.12,68.0,97.0,9.14,60.05,52.0,0.14,22.0,0.06,96.0,94.0,0.44,0.55,93.0,0.48
Abdon Prats,8661,Striker,134,31,€2.5M,LaLiga,87.0,1.34,51.0,12.76,N/A,N/A,89.0,34.0,36.36,5.37,0.0,0.0,91.0,1.34,N/A,N/A,N/A,N/A,N/A,N/A,6.0,2.69,N/A,N/A,N/A,N/A,N/A,N/A,96.0,47.0,42.86,10.07,N/A,N/A,47.0,1.34,94.0,4.03,91.0,N/A,N/A,0.67,N/A,N/A,N/A,N/A,N/A,N/A,53.0,66.67,34.0,70.37,N/A,N/A,N/A,N/A,100.0,N/A,N/A,N/A,N/A,0.67,N/A,N/A,64.0,0.67,92.0,4.7,100.0,0.0,N/A,N/A,N/A,N/A,94.0,79.0,1.34,4.7,N/A,N/A,77.0,100.0,100.0,0.67,62.0,72.0,5.37,35.6,0.0,1.34,6.0,0.01,92.0,75.0,0.38,0.91,85.0,0.73
Abdul Mumin,8370,Center Back,810,26,€3M,LaLiga,40.0,2.56,21.0,35.33,N/A,N/A,39.0,24.0,51.72,1.67,93.0,0.11,N/A,N/A,53.0,0.11,N/A,N/A,N/A,N/A,100.0,0.0,22.0,0.56,60.0,0.11,61.0,50.0,22.0,15.0,48.28,3.11,N/A,N/A,64.0,1.11,51.0,0.56,85.0,N/A,N/A,0.11,N/A,N/A,N/A,N/A,69.0,1.33,11.0,30.26,15.0,79.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86.0,0.11,76.0,4.11,100.0,0.0,N/A,N/A,N/A,N/A,26.0,53.0,0.11,0.22,N/A,N/A,54.0,79.0,87.5,0.78,28.0,33.0,0.56,57.44,24.0,0.33,42.0,0.01,21.0,21.0,0.01,0.01,57.0,0.01
Abel Bretones,8371,Left Back,612,24,€2M,LaLiga,67.0,1.76,12.0,20.15,N/A,N/A,64.0,61.0,58.33,1.03,0.0,0.0,62.0,0.15,38.0,0.59,N/A,N/A,51.0,21.05,54.0,0.44,30.0,1.03,51.0,0.74,45.0,50.0,75.0,78.0,60.0,5.74,N/A,N/A,41.0,0.88,75.0,1.32,96.0,N/A,N/A,0.29,N/A,N/A,N/A,N/A,51.0,0.88,32.0,33.33,9.0,70.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.0,0.15,81.0,5.0,100.0,0.0,N/A,N/A,N/A,N/A,58.0,96.0,0.44,0.59,52.0,0.59,80.0,70.0,72.22,1.91,30.0,23.0,0.44,58.38,51.0,0.15,42.0,0.06,67.0,67.0,0.03,0.03,96.0,0.16
Abel Ruiz,7732,Striker,663,24,€8.5M,LaLiga,60.0,0.68,79.0,17.1,N/A,N/A,21.0,23.0,29.41,0.68,0.0,0.0,28.0,0.27,13.0,0.27,N/A,N/A,N/A,N/A,68.0,0.95,45.0,0.41,58.0,0.68,47.0,38.46,9.0,15.0,34.55,2.58,N/A,N/A,17.0,0.81,30.0,0.95,58.0,N/A,N/A,0.27,N/A,N/A,N/A,N/A,58.0,0.27,51.0,62.5,100.0,91.3,N/A,N/A,N/A,N/A,89.0,N/A,N/A,N/A,N/A,0.14,N/A,N/A,32.0,0.27,26.0,1.76,100.0,0.0,N/A,N/A,N/A,N/A,23.0,43.0,0.68,1.63,N/A,N/A,N/A,N/A,N/A,N/A,34.0,47.0,4.34,30.81,26.0,0.27,36.0,0.03,58.0,30.0,0.17,0.28,43.0,0.21
Adnan Januzaj,8306,Right Winger,190,29,€2M,LaLiga,52.0,1.89,44.0,32.68,N/A,N/A,31.0,19.0,20.0,0.47,97.0,0.47,96.0,0.95,97.0,2.84,N/A,N/A,61.0,32.0,46.0,0.95,82.0,0.47,93.0,1.89,36.0,44.44,68.0,55.0,50.0,5.68,N/A,N/A,N/A,N/A,89.0,2.37,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,58.0,57.14,35.0,80.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.0,0.95,29.0,3.79,100.0,0.0,N/A,N/A,N/A,N/A,83.0,N/A,N/A,1.89,100.0,3.79,9.0,18.0,50.0,0.47,73.0,92.0,4.74,69.16,2.0,0.95,93.0,0.27,68.0,71.0,0.11,0.11,N/A,N/A
Adrià Altimira,7854,Right Back,269,23,€2M,LaLiga,64.0,1.34,45.0,22.75,N/A,N/A,70.0,39.0,33.33,1.0,0.0,0.0,45.0,0.33,7.0,0.33,N/A,N/A,N/A,N/A,72.0,0.67,16.0,1.67,52.0,1.34,75.0,66.67,75.0,68.0,52.63,6.69,N/A,N/A,41.0,1.0,64.0,2.01,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,97.0,1.67,54.0,66.67,81.0,86.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.0,0.33,83.0,5.35,100.0,0.0,N/A,N/A,N/A,N/A,17.0,N/A,N/A,1.0,N/A,N/A,59.0,29.0,42.86,1.0,32.0,1.0,0.67,44.83,100.0,0.0,6.0,0.02,7.0,9.0,0.03,0.03,N/A,N/A
Adrià Pedrosa,8302,Left Back,515,26,€5M,LaLiga,45.0,1.4,51.0,31.46,N/A,N/A,4.0,4.0,7.14,0.17,81.0,0.17,91.0,0.52,68.0,1.05,N/A,N/A,54.0,22.22,35.0,0.7,78.0,0.52,83.0,1.05,75.0,66.67,28.0,7.0,40.38,3.67,N/A,N/A,67.0,1.4,54.0,0.87,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,32.0,0.7,13.0,26.67,41.0,80.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.0,0.17,39.0,3.5,100.0,0.0,N/A,N/A,N/A,N/A,90.0,65.0,0.17,1.22,81.0,1.05,6.0,6.0,33.33,0.52,59.0,57.0,1.05,67.98,6.0,0.52,62.0,0.09,78.0,78.0,0.05,0.05,59.0,0.01
