Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Abdelrahman Boudah,6194,Left Winger,1619,26,€500K,Allsvenskan,58.0,0.78,64.0,25.79,N/A,N/A,84.0,56.0,38.98,1.28,25.0,0.06,83.0,1.17,39.0,1.17,N/A,N/A,70.0,23.08,34.0,1.72,50.0,0.78,39.0,1.0,19.0,36.0,25.0,11.0,36.98,3.95,N/A,N/A,5.0,0.5,28.0,1.0,86.0,N/A,N/A,0.39,N/A,N/A,N/A,N/A,61.0,0.61,31.0,41.18,59.0,79.59,N/A,N/A,N/A,N/A,95.0,N/A,N/A,N/A,N/A,0.06,N/A,N/A,78.0,1.06,59.0,3.89,100.0,0.0,N/A,N/A,N/A,N/A,94.0,88.0,1.28,3.67,39.0,0.33,11.0,42.0,58.33,0.39,56.0,62.0,4.39,51.98,31.0,0.17,25.0,0.09,91.0,88.0,0.31,0.35,91.0,0.41
Abdoulie Manneh,8127,Left Winger,466,20,€15K,Allsvenskan,94.0,2.32,84.0,30.9,N/A,N/A,89.0,50.0,36.36,1.55,0.0,0.0,100.0,1.93,19.0,0.97,N/A,N/A,N/A,N/A,2.0,2.7,89.0,0.39,77.0,1.93,66.0,50.0,97.0,72.0,46.67,8.11,N/A,N/A,61.0,1.55,100.0,3.09,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,12.0,0.19,88.0,70.59,61.0,80.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.0,1.35,94.0,5.6,100.0,0.0,N/A,N/A,N/A,N/A,97.0,94.0,1.55,5.02,N/A,N/A,64.0,31.0,55.56,0.97,89.0,69.0,4.83,67.21,3.0,0.58,5.0,0.04,94.0,94.0,0.52,0.52,61.0,0.24
Abdussalam Magashy,9892,Central Midfielder,863,26,€550K,Allsvenskan,23.0,1.04,32.0,30.56,N/A,N/A,47.0,24.0,31.82,0.73,55.0,0.1,9.0,0.1,43.0,1.15,N/A,N/A,60.0,25.0,1.0,2.4,37.0,1.15,96.0,2.29,85.0,64.71,72.0,10.0,39.86,6.15,N/A,N/A,100.0,2.92,42.0,1.15,63.0,N/A,N/A,0.1,N/A,N/A,N/A,N/A,63.0,1.15,51.0,50.0,50.0,82.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.0,0.1,77.0,5.94,100.0,0.0,N/A,N/A,N/A,N/A,40.0,85.0,0.73,1.04,26.0,0.1,32.0,23.0,52.63,1.04,28.0,54.0,2.09,56.84,13.0,0.31,57.0,0.13,87.0,88.0,0.2,0.2,91.0,0.3
Adam Carlén,9893,Center Back,1137,24,€1.3M,Allsvenskan,33.0,2.93,30.0,45.2,N/A,N/A,95.0,30.0,52.43,4.27,89.0,0.08,82.0,0.24,89.0,0.55,N/A,N/A,62.0,14.29,14.0,0.4,25.0,0.55,48.0,0.16,26.0,25.0,97.0,22.0,52.91,7.92,N/A,N/A,93.0,1.74,82.0,1.11,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,30.0,1.11,25.0,38.95,3.0,78.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.0,0.24,90.0,5.38,100.0,0.0,N/A,N/A,N/A,N/A,100.0,85.0,0.32,1.27,71.0,0.08,82.0,23.0,54.84,1.35,52.0,86.0,1.58,74.41,41.0,0.16,73.0,0.04,89.0,90.0,0.1,0.1,45.0,0.01
Adam Jakobsen,8501,Striker,1457,25,N/A,Allsvenskan,93.0,1.67,91.0,26.75,N/A,N/A,22.0,44.0,34.29,0.74,100.0,0.37,82.0,0.93,93.0,2.16,N/A,N/A,53.0,22.58,11.0,2.16,4.0,1.42,100.0,2.66,60.0,53.09,71.0,67.0,43.1,6.36,N/A,N/A,13.0,1.05,56.0,1.48,22.0,N/A,N/A,0.12,N/A,N/A,N/A,N/A,67.0,0.37,58.0,65.85,82.0,78.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.0,0.86,87.0,4.63,0.0,0.0,N/A,N/A,N/A,N/A,62.0,53.0,0.86,2.78,89.0,0.86,69.0,40.0,54.17,0.8,93.0,87.0,5.81,59.86,58.0,0.12,93.0,0.19,20.0,24.0,0.21,0.21,24.0,0.16
Adam Lundqvist,8428,Left Back,1823,30,€1.1M,Allsvenskan,65.0,2.07,74.0,43.15,N/A,N/A,28.0,28.0,41.18,0.69,65.0,0.1,24.0,0.1,43.0,0.84,N/A,N/A,83.0,31.33,81.0,0.35,28.0,1.09,52.0,0.54,70.0,55.0,72.0,72.0,57.07,5.58,N/A,N/A,78.0,1.38,59.0,1.18,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,57.0,1.33,70.0,44.21,87.0,87.23,N/A,N/A,9.0,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.0,0.44,74.0,4.79,100.0,0.0,N/A,N/A,N/A,N/A,43.0,50.0,0.15,0.64,80.0,1.28,87.0,46.0,62.5,1.97,72.0,61.0,1.53,76.13,30.0,0.2,67.0,0.11,20.0,20.0,0.02,0.02,54.0,0.02
Adam Ståhl,9802,Right Back,2227,30,€600K,Allsvenskan,26.0,1.29,46.0,34.76,N/A,N/A,91.0,85.0,60.53,1.86,91.0,0.24,20.0,0.08,57.0,0.93,N/A,N/A,78.0,30.0,57.0,0.61,89.0,0.48,72.0,0.85,80.0,60.0,69.0,76.0,57.32,5.54,N/A,N/A,67.0,1.25,48.0,1.05,85.0,N/A,N/A,0.12,N/A,N/A,N/A,N/A,52.0,1.17,35.0,35.96,43.0,80.83,N/A,N/A,N/A,N/A,100.0,N/A,N/A,N/A,N/A,0.08,N/A,N/A,41.0,0.2,4.0,2.83,100.0,0.0,N/A,N/A,N/A,N/A,56.0,59.0,0.2,0.81,41.0,0.48,65.0,81.0,77.27,1.37,33.0,81.0,2.38,65.87,52.0,0.12,83.0,0.16,91.0,61.0,0.05,0.11,83.0,0.11
Adam Wikman,6694,Defensive Midfielder,1367,20,€160K,Allsvenskan,82.0,3.23,78.0,50.3,N/A,N/A,13.0,58.0,44.44,0.26,63.0,0.13,12.0,0.13,42.0,1.12,N/A,N/A,77.0,33.33,93.0,0.4,77.0,0.66,16.0,0.33,64.0,55.56,1.0,64.0,52.33,2.96,N/A,N/A,33.0,1.05,8.0,0.59,67.0,N/A,N/A,0.13,N/A,N/A,N/A,N/A,50.0,0.99,71.0,57.65,88.0,88.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.0,0.33,45.0,4.54,100.0,0.0,N/A,N/A,N/A,N/A,4.0,25.0,0.13,0.46,70.0,0.79,24.0,22.0,51.85,0.92,61.0,2.0,0.33,68.6,42.0,0.2,51.0,0.11,7.0,7.0,0.02,0.02,40.0,0.04
Ahmed Qasem,8014,Right Winger,1486,21,€650K,Allsvenskan,44.0,0.61,36.0,19.2,N/A,N/A,81.0,22.0,25.0,1.09,78.0,0.24,73.0,0.85,59.0,1.45,N/A,N/A,64.0,21.74,20.0,1.94,75.0,0.55,81.0,2.12,92.0,63.64,66.0,20.0,39.22,5.51,N/A,N/A,64.0,1.64,16.0,0.73,69.0,N/A,N/A,0.3,N/A,N/A,N/A,N/A,58.0,0.61,89.0,71.43,55.0,79.45,N/A,N/A,N/A,N/A,97.0,N/A,N/A,N/A,N/A,0.06,N/A,N/A,88.0,1.21,73.0,4.3,2.0,0.06,N/A,N/A,N/A,N/A,72.0,38.0,0.67,2.6,36.0,0.3,44.0,23.0,53.85,0.85,31.0,77.0,5.33,44.15,28.0,0.18,41.0,0.11,81.0,72.0,0.25,0.29,84.0,0.36
Ajdin Zeljkovic,6181,Striker,1803,26,€450K,Allsvenskan,67.0,0.95,66.0,26.06,N/A,N/A,34.0,66.0,41.67,0.5,23.0,0.05,41.0,0.6,16.0,0.95,N/A,N/A,47.0,17.65,75.0,1.05,97.0,0.3,36.0,1.0,47.0,43.48,34.0,84.0,50.92,4.14,N/A,N/A,9.0,0.65,64.0,1.55,80.0,N/A,N/A,0.35,N/A,N/A,N/A,N/A,64.0,0.65,86.0,67.86,88.0,85.57,91.0,0.05,N/A,N/A,100.0,N/A,N/A,N/A,N/A,0.15,N/A,N/A,17.0,0.45,31.0,3.19,100.0,0.0,N/A,N/A,N/A,N/A,86.0,84.0,1.15,3.09,20.0,0.15,17.0,47.0,59.09,0.65,39.0,11.0,2.45,47.47,52.0,0.1,22.0,0.08,86.0,58.0,0.2,0.32,70.0,0.27
